REPLICATE	S_Filtered	P20_Observed	S_All
2-03bio	0.45220547580155157	0.21364296081277215	0.609308556248981
2-03lib	0.48143466464599566	0.18280836031792758	0.6111760773705167
2-03orig	0.4944242921508114	0.19405513630063145	0.6274224143190391
2-04bio	0.48849846608245107	0.17259045789305155	0.5764340884973936
2-04lib	0.4686287318709031	0.16937869822485208	0.5592778808572497
2-04orig	0.4631752100901413	0.19013174890209247	0.5647067904316122
2-05bio	0.45315221554208307	0.10362420830401126	0.5066831716984233
2-05lib	0.4502271590365154	0.13117344922955354	0.5003739513850148
2-05orig	0.4490830070935002	0.12224753227031132	0.49066974800295865
2-06bio	0.5041700242010088	0.30758347481607246	0.732347615649076
2-06lib	0.4761942368529921	0.22934603407217438	0.6506424050877058
2-06orig	0.44773193041997106	0.18508595668676045	0.5909124267099893
