INDIVIDUAL	METRIC	MEAN	SD	SAMPLE_SIZE	EXPERIMENT
1009	N_CLONES	14.3	2.556724878680371	100	gut
1009	N_CLONES_SINGLE	8.4	2.909150717088553	100	gut
1009	N_CLONES_SMALL	11.05	2.6650762801367187	100	gut
1009	N_CLONES_LARGE	3.25	0.5501196042201808	100	gut
1009	PC_CLONES_SMALL	0.765145665737771	0.06528698643126754	100	gut
1009	P20	1	0	100	gut
1015	N_CLONES	28	3.2606102108912713	100	gut
1015	N_CLONES_SINGLE	18	3.1953914182443244	100	gut
1015	N_CLONES_SMALL	23.1	3.492849839314596	100	gut
1015	N_CLONES_LARGE	4.9	0.7880689256524124	100	gut
1015	PC_CLONES_SMALL	0.8223801680629316	0.03663219589593855	100	gut
1015	P20	0.92	0.0326061021089127	100	gut
1026	N_CLONES	16.55	2.6650762801367187	100	gut
1026	N_CLONES_SINGLE	10	2.9019050004400464	100	gut
1026	N_CLONES_SMALL	14.65	2.942877217246665	100	gut
1026	N_CLONES_LARGE	1.9	0.5525062514530825	100	gut
1026	PC_CLONES_SMALL	0.8796138300124369	0.05080158759403848	100	gut
1026	P20	0.999	0.003077935056255465	100	gut
1271	N_CLONES	23.1	3.726152241430265	100	gut
1271	N_CLONES_SINGLE	17.3	4.0923548747698595	100	gut
1271	N_CLONES_SMALL	20.9	3.8511789035785418	100	gut
1271	N_CLONES_LARGE	2.2	0.5231483637805969	100	gut
1271	PC_CLONES_SMALL	0.9018237554573871	0.032614227460209755	100	gut
1271	P20	0.9645	0.031030545223087937	100	gut
1298	N_CLONES	23	2.3169853371636986	100	gut
1298	N_CLONES_SINGLE	16.85	2.7961439613567074	100	gut
1298	N_CLONES_SMALL	20.35	2.2542357790099112	100	gut
1298	N_CLONES_LARGE	2.65	0.4893604849295929	100	gut
1298	PC_CLONES_SMALL	0.8841970123697812	0.02171958942966131	100	gut
1298	P20	0.9695	0.02235479461111786	100	gut
1301	N_CLONES	46.85	2.5603248149199227	100	gut
1301	N_CLONES_SINGLE	29.15	3.4682772911664737	100	gut
1301	N_CLONES_SMALL	43.6	2.603641175051019	100	gut
1301	N_CLONES_LARGE	3.25	0.5501196042201808	100	gut
1301	PC_CLONES_SMALL	0.9304671616346415	0.01245170273218683	100	gut
1301	P20	0.7285	0.027961439613567066	100	gut
1305	N_CLONES	16.2	2.8022547312739734	100	gut
1305	N_CLONES_SINGLE	10.4	2.798495836582292	100	gut
1305	N_CLONES_SMALL	13	2.9379548919900764	100	gut
1305	N_CLONES_LARGE	3.2	0.6958523739384593	100	gut
1305	PC_CLONES_SMALL	0.7960758320626742	0.06044474399756188	100	gut
1305	P20	0.999	0.004472135954999583	100	gut
1403	N_CLONES	83.95	3.7483329627982624	100	gut
1403	N_CLONES_SINGLE	71.4	6.769902432632867	100	gut
1403	N_CLONES_SMALL	83.8	3.9014167467189336	100	gut
1403	N_CLONES_LARGE	0.15	0.36634754853252327	100	gut
1403	PC_CLONES_SMALL	0.998138127304794	0.004550709915390946	100	gut
1403	P20	0.3605	0.03748332962798262	100	gut
1409	N_CLONES	73.8	3.8058127287500354	100	gut
