INDIVIDUAL	REPLICATE	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
2-03	2-03bio	0	1	2.5272390505469216	108.7475	113.70079751939517	103.79420248060484	1	0.9544513895087688	1.0455486104912313	solo
2-03	2-03bio	0.05	1	2.3090637193902457	103.67220820932576	108.19788993733874	99.14652648131278	0.9533295773174165	0.9117131564524497	0.9949459981823834	solo
2-03	2-03bio	0.1	1	2.1176343585785906	98.84972816617727	103.00021524141589	94.69924109093866	0.9089839138019473	0.8708176380232985	0.9471501895805962	solo
2-03	2-03bio	0.15000000000000002	1	1.9513700442165673	94.2751184761698	98.0997334833446	90.450503468995	0.8669175702997292	0.8317478881720959	0.9020872524273624	solo
2-03	2-03bio	0.2	1	1.80844180697392	89.94262668254764	93.48710749235306	86.39814587274222	0.8270776494406551	0.7944839731740244	0.8596713257072858	solo
2-03	2-03bio	0.25	1	1.6868009104838413	85.8457599309627	89.1518289646004	82.539690897325	0.7894044454443798	0.7590031117710752	0.8198057791176845	solo
2-03	2-03bio	0.30000000000000004	1	1.5842287036036216	81.97736467261826	85.08239587495595	78.87233347028058	0.7538321770396401	0.7252795096005019	0.7823848444787783	solo
2-03	2-03bio	0.35000000000000003	1	1.498407464077742	78.32971356859892	81.26653823235729	75.39288890484055	0.7202897866029004	0.6932838815130513	0.7472956916927497	solo
2-03	2-03bio	0.4	1	1.427005686260791	74.89459753362961	77.69147728443463	72.09771778282459	0.6887017865572046	0.6629827608250727	0.7144208122893365	solo
2-03	2-03bio	0.45	1	1.3677664842434125	71.66342072066293	74.34419376904098	68.98264767228487	0.6589891328137467	0.6343377794642163	0.6836404861632771	solo
2-03	2-03bio	0.5	1	1.3185864195668018	68.62729620847426	71.21167810132881	66.04291431561971	0.6310701046780318	0.607305127158047	0.6548350821980167	solo
2-03	2-03bio	0.55	1	1.277574676429086	65.77714021536775	68.28114056872917	63.27313986200633	0.6048611712027196	0.5818353512679034	0.6278869911375358	solo
2-03	2-03bio	0.6000000000000001	1	1.243087697154441	63.103762817832965	65.5401699338805	60.667355701785425	0.5802778254013469	0.5578735667650789	0.6026820840376147	solo
2-03	2-03bio	0.65	1	1.2137398517509448	60.59795339093205	62.97683978696488	58.219066994899215	0.5572353699251206	0.5353600496094091	0.5791106902408321	solo
2-03	2-03bio	0.7000000000000001	1	1.188394623875671	58.2505592888576	60.57976995107494	55.92134862664027	0.5356496405789338	0.5142311191212696	0.5570681620365979	solo
2-03	2-03bio	0.75	1	1.1661425060215935	56.052556627219076	58.33815393986268	53.76695931457547	0.5154376572079273	0.49442018726476905	0.5364551271510856	solo
2-03	2-03bio	0.8	1	1.146271665905891	53.99511238956813	56.2417635712424	51.748461207893854	0.49651819480510473	0.4758588584371489	0.5171775311730605	solo
2-03	2-03bio	0.8500000000000001	1	1.128236256842226	52.06963743683025	54.280939866293295	49.8583350073672	0.4788122709655877	0.4584779880674701	0.4991465538637053	solo
2-03	2-03bio	0.9	1	1.1116257238106675	50.26783033001909	52.44657671297627	48.08908394706191	0.46224354886336777	0.44220863879226563	0.4822784589344699	solo
2-03	2-03bio	0.9500000000000001	1	1.0961370651295568	48.58171216860007	50.73010133837344	46.433322998826704	0.44673865761144	0.42698290074555	0.4664944144773299	solo
2-03	2-03bio	1	1	1.0815793291534441	47.00670605459411	49.12656258615785	44.88684952303037	0.43225550982407973	0.41276212807678675	0.4517488915713727	solo
2-03	2-03bio	1.05	1	1.0677118429019372	45.52638965429607	47.61906641225075	43.43371289634138	0.418643092064609	0.39939964501566827	0.43788653911354974	solo
2-03	2-03bio	1.1	1	1.05451199597734	44.14303809952395	46.20984363290498	42.07623256614292	0.4059223255663252	0.3869167803043097	0.42492787082834066	solo
2-03	2-03bio	1.1500000000000001	1	1.0418787031413934	42.847097272766376	44.889142007182805	40.80505253834995	0.3940053543554231	0.37522749983539805	0.4127832088754482	solo
2-03	2-03bio	1.2000000000000002	1	1.029764461300852	41.632449149904524	43.65075040661348	39.614147893195565	0.38283591944554607	0.3642764007742299	0.4013954381168623	solo
2-03	2-03bio	1.25	1	1.0181394324086577	40.493353591792996	42.48887021055402	38.49783697303197	0.37236123673457316	0.3540112367919444	0.3907112366772019	solo
2-03	2-03bio	1.3	1	1.0069857776318032	39.42443957864938	41.39809543575177	37.45078372154698	0.3625319163994517	0.3443829395760545	0.380680893222849	solo
