INDIVIDUAL	REPLICATE	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
2-03	2-03bio	0	1	19.228014387050848	1327.361	1365.0472156928377	1289.6747843071626	1	0.9716081640994142	1.028391835900586	solo
2-03	2-03bio	0.05	1	19.39740210297822	1305.6828178106045	1343.7010273260832	1267.6646082951258	0.9836682091839405	0.9550262575856348	1.0123101607822462	solo
2-03	2-03bio	0.1	1	19.576780511874325	1283.1687984713662	1321.5385832078855	1244.799013734847	0.9667067199287656	0.9377999005054743	0.9956135393520568	solo
2-03	2-03bio	0.15000000000000002	1	19.767689135548682	1259.763154673515	1298.507113436774	1221.0191959102558	0.9490735034956691	0.9198847908822511	0.978262216109087	solo
2-03	2-03bio	0.2	1	19.9718421118471	1235.4066992108167	1274.5507904549575	1196.262607966676	0.9307239697496134	0.9012338075072839	0.9602141319919429	solo
2-03	2-03bio	0.25	1	20.191119705273852	1210.0372123008935	1249.6110797307672	1170.46334487102	0.9116112438898638	0.8817972992057321	0.9414251885739954	solo
2-03	2-03bio	0.30000000000000004	1	20.427542799455306	1183.5900631463383	1223.6273113259213	1143.5528149667552	0.8916866347183157	0.8615235907690185	0.9218496786676128	solo
2-03	2-03bio	0.35000000000000003	1	20.68322223225901	1155.9991627082616	1196.5375333677273	1115.4607920487958	0.8709003524348399	0.8403597755612797	0.9014409293084	solo
2-03	2-03bio	0.4	1	20.960272519399496	1127.1983384252635	1168.2797176694312	1086.1169591810958	0.8492025443155731	0.8182528785922561	0.88015221003889	solo
2-03	2-03bio	0.45	1	21.260677235649467	1097.1232339817366	1138.79339565054	1055.453072312933	0.8265447259500139	0.7951514865307425	0.8579379653692853	solo
2-03	2-03bio	0.5	1	21.586091624325046	1065.7138454846177	1108.0218076352764	1023.4058833339589	0.8028816919320498	0.771007949859879	0.8347554340042207	solo
2-03	2-03bio	0.55	1	21.937567770157607	1032.9178053956232	1075.9146481335388	989.9209626577076	0.7781739898909363	0.7457812627142937	0.810566717067579	solo
2-03	2-03bio	0.6000000000000001	1	22.315190181909728	998.694511389603	1042.4314804543078	954.9575423248981	0.752391031068114	0.7194407115508878	0.7853413505853402	solo
2-03	2-03bio	0.65	1	22.717616533228597	963.0201611994213	1007.545871419141	918.4944509797016	0.72551488344122	0.6919703464089283	0.7590594204735117	solo
2-03	2-03bio	0.7000000000000001	1	23.141531390681404	925.8936871519559	971.2502552247945	880.5371190791172	0.697544742652493	0.6633742584565293	0.7317152268484568	solo
2-03	2-03bio	0.75	1	23.58104146109233	887.3434758368801	933.5614678185668	841.1254838551934	0.6685019944362386	0.6336825353880318	0.7033214534844453	solo
