event	h	id
model	22.8685993025534	1-01
v_choice	3.424325958647737	1-01
d_gene	1.1239908705546706	1-01
j_choice	2.1525115794357355	1-01
v_3_del	2.246821701841205	1-01
d_3_del	1.3387714422334935	1-01
d_5_del	2.706206469036046	1-01
j_5_del	2.264076304128057	1-01
vd_ins	1.6328815775879142	1-01
dj_ins	1.6704069029843707	1-01
vd_dinucl	1.9850669261548068	1-01
dj_dinucl	2.323539569949359	1-01
model	29.44851191986045	1-02
v_choice	3.5001155877203782	1-02
d_gene	1.9051865807182464	1-02
j_choice	2.3680776567732353	1-02
v_3_del	2.69660529452135	1-02
d_3_del	2.055915364544755	1-02
d_5_del	3.083189275646764	1-02
j_5_del	2.5576243180311486	1-02
vd_ins	1.9072250361018936	1-02
dj_ins	2.025505359870252	1-02
vd_dinucl	3.1010231823157586	1-02
dj_dinucl	4.24804426361667	1-02
model	27.914014607004226	1-03
v_choice	3.44910638283199	1-03
d_gene	1.735948489092746	1-03
j_choice	2.4121811625330607	1-03
v_3_del	2.733491672643148	1-03
d_3_del	1.9419258343951356	1-03
d_5_del	2.957056438421231	1-03
j_5_del	2.651242178823258	1-03
vd_ins	1.8898127440940589	1-03
dj_ins	1.8177336560917765	1-03
vd_dinucl	3.4557531309354	1-03
dj_dinucl	2.8697629171424257	1-03
model	28.898206751790035	1-04
v_choice	3.521900470751489	1-04
d_gene	2.0253593624785884	1-04
j_choice	2.41598361474738	1-04
v_3_del	2.742233920625826	1-04
d_3_del	2.0735437454301766	1-04
d_5_del	3.0214609300408317	1-04
j_5_del	2.6007296804318094	1-04
vd_ins	1.8649134747543807	1-04
dj_ins	1.898155389420519	1-04
vd_dinucl	3.06633192694465	1-04
dj_dinucl	3.6675942361643825	1-04
model	26.846438620936453	1-05
v_choice	3.454013066600398	1-05
d_gene	1.812449157077435	1-05
j_choice	2.3311778794433273	1-05
v_3_del	2.7398262072919097	1-05
d_3_del	2.0729901399621156	1-05
d_5_del	2.9107035008419304	1-05
j_5_del	2.6544870474684883	1-05
vd_ins	1.7291092968700594	1-05
dj_ins	1.7354961584341388	1-05
vd_dinucl	2.8986054970619834	1-05
dj_dinucl	2.5075806698846677	1-05
model	27.987491649759697	1-06
v_choice	3.5158290537780688	1-06
d_gene	1.7534200785983782	1-06
j_choice	2.3469059872322244	1-06
v_3_del	2.7377697062174864	1-06
d_3_del	1.830085980270272	1-06
d_5_del	2.9560069382251375	1-06
j_5_del	2.516473514558124	1-06
vd_ins	1.8424359047581094	1-06
dj_ins	1.9229296101973263	1-06
vd_dinucl	3.055497116190763	1-06
dj_dinucl	3.510137759733807	1-06
model	26.0718037915963	1-07
v_choice	3.5749333998334274	1-07
d_gene	1.6183391820247892	1-07
j_choice	2.4069339946336967	1-07
v_3_del	2.5049840987611245	1-07
d_3_del	1.77173863049833	1-07
d_5_del	2.844913354604868	1-07
j_5_del	2.439553913231879	1-07
vd_ins	1.6438377237285922	1-07
dj_ins	1.7934263272217765	1-07
vd_dinucl	2.494395649833868	1-07
dj_dinucl	2.9787475172239475	1-07
model	26.417951327499825	1-08
v_choice	3.4718037070526977	1-08
d_gene	1.6533445593808906	1-08
j_choice	2.311708715620479	1-08
v_3_del	2.5450027783912272	1-08
d_3_del	1.9314691153147936	1-08
d_5_del	2.9292526491272253	1-08
j_5_del	2.698229179748749	1-08
vd_ins	1.7248263991622645	1-08
dj_ins	1.7426964641968763	1-08
vd_dinucl	2.17086824395343	1-08
dj_dinucl	3.238749515551196	1-08
model	27.198043896237436	1-09
v_choice	3.3547370693073892	1-09
d_gene	1.596334767341411	1-09
j_choice	2.2517748564710973	1-09
v_3_del	2.7092901241787284	1-09
d_3_del	1.7956211378175095	1-09
d_5_del	2.810074486671888	1-09
j_5_del	2.4564809757903476	1-09
vd_ins	1.8006171230329286	1-09
dj_ins	1.5884250971802134	1-09
vd_dinucl	4.527675101185584	1-09
dj_dinucl	2.3070131572603407	1-09
model	29.079699053587806	1-10
v_choice	3.480617625574624	1-10
d_gene	2.013436734507258	1-10
j_choice	2.4545455084030725	1-10
v_3_del	2.84223094339367	1-10
d_3_del	2.1969842741212977	1-10
d_5_del	2.98311248704148	1-10
j_5_del	2.504604008718162	1-10
