event	id	n	p
dj_ins	39	0	0.520609
dj_ins	39	1	0.270658
dj_ins	39	2	0.0868581
dj_ins	39	3	0.0344687
dj_ins	39	4	0.056996
dj_ins	39	5	0.0125095
dj_ins	39	6	0.00883532
dj_ins	39	7	0.00417445
dj_ins	39	8	0.00090986
dj_ins	39	9	0.00167957
dj_ins	39	10	0.00106042
dj_ins	39	11	8.99254e-05
dj_ins	39	12	0.000392785
dj_ins	39	13	0.000127742
dj_ins	39	14	1.33772e-06
dj_ins	39	15	0.000270546
dj_ins	39	16	6.17569e-06
dj_ins	39	17	1.35725e-06
dj_ins	39	18	5.10378e-08
dj_ins	39	19	0.000178504
dj_ins	39	20	1.13019e-06
dj_ins	39	21	6.55197e-10
dj_ins	39	22	0.0
dj_ins	39	23	0.0
dj_ins	39	24	0.0
dj_ins	39	25	0.0
dj_ins	39	26	0.0
dj_ins	39	27	0.0
dj_ins	39	28	0.0
dj_ins	39	29	0.0
dj_ins	39	30	0.000167026
dj_ins	39	31	2.63566e-07
dj_ins	39	32	6.82698e-12
dj_ins	39	33	2.39321e-12
dj_ins	39	34	0.0
dj_ins	39	35	2.3347e-49
dj_ins	39	36	1.70459e-15
dj_ins	39	37	0.0
dj_ins	39	38	4.93895e-07
dj_ins	39	39	2.26467e-10
dj_ins	39	40	1.83518e-10
dj_ins	39	41	3.81159e-06
dj_ins	39	42	3.9235e-13
dj_ins	39	43	0.0
dj_ins	39	44	0.0
dj_ins	39	45	0.0
dj_ins	39	46	0.0
dj_ins	39	47	0.0
dj_ins	39	48	0.0
dj_ins	39	49	0.0
dj_ins	39	50	0.0
dj_ins	39	51	0.0
dj_ins	39	52	0.0
dj_ins	39	53	0.0
dj_ins	39	54	0.0
dj_ins	39	55	0.0
dj_ins	39	56	0.0
dj_ins	39	57	0.0
dj_ins	39	58	0.0
dj_ins	39	59	0.0
dj_ins	39	60	0.0
vd_ins	39	0	0.474661
vd_ins	39	1	0.263511
vd_ins	39	2	0.159566
vd_ins	39	3	0.061104
vd_ins	39	4	0.0242284
vd_ins	39	5	0.00629517
vd_ins	39	6	0.00627741
vd_ins	39	7	0.00135373
vd_ins	39	8	0.000687439
vd_ins	39	9	0.000365602
vd_ins	39	10	5.04853e-05
vd_ins	39	11	0.000165658
vd_ins	39	12	0.000165475
vd_ins	39	13	0.000257556
vd_ins	39	14	0.000360829
vd_ins	39	15	0.000207849
vd_ins	39	16	1.05537e-05
vd_ins	39	17	5.07962e-05
vd_ins	39	18	0.0
vd_ins	39	19	0.00018307
vd_ins	39	20	6.37301e-11
vd_ins	39	21	1.69032e-19
vd_ins	39	22	0.0
vd_ins	39	23	0.0
vd_ins	39	24	0.0
vd_ins	39	25	0.0
vd_ins	39	26	0.0
vd_ins	39	27	0.0
vd_ins	39	28	0.0
vd_ins	39	29	0.0
vd_ins	39	30	0.0
vd_ins	39	31	0.0
vd_ins	39	32	1.15826e-31
vd_ins	39	33	3.12769e-09
vd_ins	39	34	3.7437e-06
vd_ins	39	35	1.0932e-06
vd_ins	39	36	1.19325e-16
vd_ins	39	37	5.18487e-29
