event	id	n	p
dj_ins	1-01	0	0.598355
dj_ins	1-01	1	0.213818
dj_ins	1-01	2	0.105413
dj_ins	1-01	3	0.0269372
dj_ins	1-01	4	0.0459738
dj_ins	1-01	5	0.00944909
dj_ins	1-01	6	5.47322e-5
dj_ins	1-01	7	1.81085e-7
dj_ins	1-01	8	0
dj_ins	1-01	9	0
dj_ins	1-01	10	0
dj_ins	1-01	11	0
dj_ins	1-01	12	0
dj_ins	1-01	13	0
dj_ins	1-01	14	0
dj_ins	1-01	15	0
dj_ins	1-01	16	0
dj_ins	1-01	17	0
dj_ins	1-01	18	0
dj_ins	1-01	19	0
dj_ins	1-01	20	0
dj_ins	1-01	21	0
dj_ins	1-01	22	0
dj_ins	1-01	23	0
dj_ins	1-01	24	0
dj_ins	1-01	25	0
dj_ins	1-01	26	0
dj_ins	1-01	27	0
dj_ins	1-01	28	0
dj_ins	1-01	29	0
dj_ins	1-01	30	0
dj_ins	1-01	31	0
dj_ins	1-01	32	0
dj_ins	1-01	33	0
dj_ins	1-01	34	0
dj_ins	1-01	35	0
dj_ins	1-01	36	0
dj_ins	1-01	37	0
dj_ins	1-01	38	0
dj_ins	1-01	39	0
dj_ins	1-01	40	0
dj_ins	1-01	41	0
dj_ins	1-01	42	0
dj_ins	1-01	43	0
dj_ins	1-01	44	0
dj_ins	1-01	45	0
dj_ins	1-01	46	0
dj_ins	1-01	47	0
dj_ins	1-01	48	0
dj_ins	1-01	49	0
dj_ins	1-01	50	0
dj_ins	1-01	51	0
dj_ins	1-01	52	0
dj_ins	1-01	53	0
dj_ins	1-01	54	0
dj_ins	1-01	55	0
dj_ins	1-01	56	0
dj_ins	1-01	57	0
dj_ins	1-01	58	0
dj_ins	1-01	59	0
dj_ins	1-01	60	0
vd_ins	1-01	0	0.556552
vd_ins	1-01	1	0.296688
vd_ins	1-01	2	0.0788958
vd_ins	1-01	3	0.0263205
vd_ins	1-01	4	0.0356975
vd_ins	1-01	5	7.68795e-6
vd_ins	1-01	6	0.00583869
vd_ins	1-01	7	2.83757e-16
vd_ins	1-01	8	1.6807e-23
vd_ins	1-01	9	0
vd_ins	1-01	10	0
vd_ins	1-01	11	0
vd_ins	1-01	12	0
vd_ins	1-01	13	3.81742e-32
vd_ins	1-01	14	0
vd_ins	1-01	15	0
vd_ins	1-01	16	0
vd_ins	1-01	17	0
vd_ins	1-01	18	0
vd_ins	1-01	19	0
vd_ins	1-01	20	0
vd_ins	1-01	21	0
vd_ins	1-01	22	0
vd_ins	1-01	23	0
vd_ins	1-01	24	0
vd_ins	1-01	25	0
