event	id	n	p
dj_ins	2-03	0	0.516178
dj_ins	2-03	1	0.267097
dj_ins	2-03	2	0.0928338
dj_ins	2-03	3	0.0303154
dj_ins	2-03	4	0.0558022
dj_ins	2-03	5	0.0180271
dj_ins	2-03	6	0.00930382
dj_ins	2-03	7	0.00227938
dj_ins	2-03	8	0.00159832
dj_ins	2-03	9	0.00124458
dj_ins	2-03	10	1.56987e-4
dj_ins	2-03	11	0.00443721
dj_ins	2-03	12	1.95187e-5
dj_ins	2-03	13	4.41854e-8
dj_ins	2-03	14	1.37472e-11
dj_ins	2-03	15	0
dj_ins	2-03	16	0
dj_ins	2-03	17	0
dj_ins	2-03	18	1.07102e-47
dj_ins	2-03	19	0
dj_ins	2-03	20	0
dj_ins	2-03	21	0
dj_ins	2-03	22	0
dj_ins	2-03	23	0
dj_ins	2-03	24	0
dj_ins	2-03	25	0
dj_ins	2-03	26	0
dj_ins	2-03	27	4.59258e-22
dj_ins	2-03	28	6.83652e-22
dj_ins	2-03	29	1.1586e-43
dj_ins	2-03	30	0
dj_ins	2-03	31	0
dj_ins	2-03	32	0
dj_ins	2-03	33	0
dj_ins	2-03	34	0
dj_ins	2-03	35	0
dj_ins	2-03	36	0
dj_ins	2-03	37	1.45645e-49
dj_ins	2-03	38	8.70544e-26
dj_ins	2-03	39	0
dj_ins	2-03	40	0
dj_ins	2-03	41	0
dj_ins	2-03	42	0
dj_ins	2-03	43	0
dj_ins	2-03	44	0
dj_ins	2-03	45	0
dj_ins	2-03	46	0
dj_ins	2-03	47	0
dj_ins	2-03	48	0
dj_ins	2-03	49	0
dj_ins	2-03	50	0
dj_ins	2-03	51	0
dj_ins	2-03	52	0
dj_ins	2-03	53	0
dj_ins	2-03	54	0
dj_ins	2-03	55	0
dj_ins	2-03	56	0
dj_ins	2-03	57	0
dj_ins	2-03	58	0
dj_ins	2-03	59	6.99835e-4
dj_ins	2-03	60	5.88084e-6
vd_ins	2-03	0	0.408152
vd_ins	2-03	1	0.297013
vd_ins	2-03	2	0.180118
vd_ins	2-03	3	0.0704004
vd_ins	2-03	4	0.0249483
vd_ins	2-03	5	0.00838133
vd_ins	2-03	6	0.00248581
vd_ins	2-03	7	0.00162485
vd_ins	2-03	8	0.00375646
vd_ins	2-03	9	5.14039e-4
vd_ins	2-03	10	1.6664e-5
vd_ins	2-03	11	3.6726e-5
vd_ins	2-03	12	1.32058e-6
vd_ins	2-03	13	0.00111683
vd_ins	2-03	14	2.51402e-25
vd_ins	2-03	15	4.79563e-32
vd_ins	2-03	16	0
vd_ins	2-03	17	0
vd_ins	2-03	18	0
vd_ins	2-03	19	0
vd_ins	2-03	20	0
vd_ins	2-03	21	8.25355e-7
vd_ins	2-03	22	1.10061e-8
vd_ins	2-03	23	1.88257e-35
vd_ins	2-03	24	3.30209e-4
vd_ins	2-03	25	3.93555e-4
vd_ins	2-03	26	4.35314e-6
vd_ins	2-03	27	5.00761e-9
vd_ins	2-03	28	3.9512e-28
vd_ins	2-03	29	0
vd_ins	2-03	30	0
vd_ins	2-03	31	0
vd_ins	2-03	32	0
vd_ins	2-03	33	0
vd_ins	2-03	34	0
vd_ins	2-03	35	0
vd_ins	2-03	36	7.03128e-4
vd_ins	2-03	37	2.58859e-6
vd_ins	2-03	38	1.33707e-12
vd_ins	2-03	39	9.38773e-11
vd_ins	2-03	40	1.41185e-15
vd_ins	2-03	41	1.54224e-15
vd_ins	2-03	42	0
vd_ins	2-03	43	0
vd_ins	2-03	44	0
vd_ins	2-03	45	0
vd_ins	2-03	46	0
vd_ins	2-03	47	0
vd_ins	2-03	48	0
vd_ins	2-03	49	0
vd_ins	2-03	50	0
vd_ins	2-03	51	0
vd_ins	2-03	52	0
vd_ins	2-03	53	0
vd_ins	2-03	54	0
vd_ins	2-03	55	0
vd_ins	2-03	56	0
vd_ins	2-03	57	0
vd_ins	2-03	58	0
vd_ins	2-03	59	0
vd_ins	2-03	60	0
j_5_del	2-03	-6	0
j_5_del	2-03	-5	2.8256942716607643e-5
j_5_del	2-03	-4	0.001242505660832471
j_5_del	2-03	-3	0.0018758128886770097
j_5_del	2-03	-2	0.015172674416944566
j_5_del	2-03	-1	0.07841810261104562
j_5_del	2-03	0	0.1609641270497824
