V_NAME_OLD,V_NAME_NEW
IGH1V1-01,IGHV1-01*01
IGH1V1-02,IGHV1-02*01
IGH1V2-01,IGHV2-01*01
IGH1V1-03,IGHV1-03*01
IGH1V3-01,IGHV3-01*01
IGH1V2-02,IGHV2-02*01
IGH1V4-01p,IGHV4-01*01
IGH1V1-04,IGHV1-04*01
IGH1V2-03,IGHV2-03*01
IGH1V1-05,IGHV1-05*01
IGH1V5-01,IGHV5-01*01
IGH1V2-04,IGHV2-04*01
IGH1V6-01,IGHV6-01*01
IGH1V1-06,IGHV1-06*01
IGH1V4-02p,IGHV4-02*01
IGH1V2-05,IGHV2-05*01
IGH1V1-07,IGHV1-07*01
IGH2V2-02,IGHV2-02*02
IGH2V4-01p,IGHV4-01*02
IGH2V5-01,IGHV5-01*02
IGH2V1-03,IGHV1-03*02
IGH2V1-02,IGHV1-02*02
IGH2V2-01,IGHV2-01*02
IGH2V1-01,IGHV1-01*02
