INDIVIDUAL	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
2-03	0	3	10.950904164137151	1360.2961666666667	1381.7595444265253	1338.8327889068082	1	0.9842215406572428	1.0157784593427572	alpha
2-03	0.05	3	11.04218897354801	1339.6809709177894	1361.323263616429	1318.03867821915	0.9848450681152813	0.9689350823129447	1.0007550539176178	alpha
2-03	0.1	3	11.139395337117369	1318.2763051433942	1340.1091188136977	1296.4434914730907	0.9691097699508777	0.9530597256992618	0.9851598142024937	alpha
2-03	0.15000000000000002	3	11.24360937633319	1296.0276163938306	1318.0646858276805	1273.9905469599807	0.9527540017771845	0.9365538021634118	0.9689542013909572	alpha
2-03	0.2	3	11.356078952347916	1272.8765841855313	1295.1340899377267	1250.619078433336	0.9357348902222136	0.9193726403698625	0.9520971400745646	alpha
2-03	0.25	3	11.478222638122404	1248.761321535414	1271.2582245126662	1226.2644185581619	0.9180069400588234	0.9014687011601727	0.9345451789574741	alpha
2-03	0.30000000000000004	3	11.611630869377699	1223.616780315793	1246.3751586215467	1200.8584020100393	0.8995223321949077	0.8827918738848458	0.9162527905049697	alpha
2-03	0.35000000000000003	3	11.75805433309722	1197.3754273341876	1220.4207903553233	1174.330064313052	0.8802314206826681	0.863289990142871	0.8971728512224654	alpha
2-03	0.4	3	11.919372969295466	1169.9682710346535	1193.3298127727728	1146.6067292965342	0.8600834874816993	0.8429096232081819	0.8772573517552166	alpha
2-03	0.45	3	12.097537145502564	1141.3263321137	1165.0370692205204	1117.6155950068794	0.839027823558791	0.8215972538873919	0.8564583932301901	alpha
2-03	0.5	3	12.294470894428327	1111.3826627808432	1135.4793829428986	1087.2859426187879	0.8170152133150733	0.7993008943656176	0.8347295322645291	alpha
2-03	0.55	3	12.51192607238215	1080.0750258857472	1104.5979503648439	1055.5521014066505	0.7939999041035406	0.7759722678578332	0.8120275403492478	alpha
2-03	0.6000000000000001	3	12.751276637621864	1047.3493422358968	1072.3413852025426	1022.3572992692509	0.7699421404695791	0.7515696392606053	0.788314641678553	alpha
2-03	0.65	3	13.0132449437044	1013.1639959730612	1038.6694873847198	987.6585045614027	0.7448113291797077	0.7260613745472849	0.7635612838121304	alpha
2-03	0.7000000000000001	3	13.297558114111254	977.495045950243	1003.5577809362294	951.4323109642567	0.7185898702821037	0.6994302669364207	0.7377494736277866	alpha
2-03	0.75	3	13.60254323928545	940.3423165034326	967.0028113505808	913.6818216562843	0.6912776346401764	0.6716785976801015	0.7108766716002514	alpha
2-03	0.8	3	13.924685861548541	901.7362249014474	929.0281076861166	874.4443421167781	0.6628969830232662	0.6428337913055783	0.682960174740954	alpha
2-03	0.8500000000000001	3	14.258196519123723	861.745039197212	889.6905908591889	833.7994875352351	0.6334981016000892	0.61295437564778	0.6540418275523986	alpha
2-03	0.9	3	14.594652919055845	820.4820509784149	849.0870450666267	791.8770568902031	0.6031642748718189	0.5821357703526105	0.6241927793910272	alpha
2-03	0.9500000000000001	3	14.92280634200781	778.1119083042987	807.3600712828999	748.8637453256976	0.5720165412294151	0.5505152213732604	0.5935178610855698	alpha
2-03	1	3	15.228078935205495	734.9421814080758	764.7886676748117	705.09569514134	0.5402810060172503	0.5183398383523636	0.5622221736821369	alpha
2-03	1.05	3	15.495870316215766	690.9895853516578	721.360933080544	660.6182376227715	0.5079699570461121	0.485642945860519	0.5302969682317054	alpha
2-03	1.1	3	15.706674441965914	646.8479552473125	677.6324714704614	616.0634390241636	0.4755199427139304	0.4528891973089906	0.4981506881188702	alpha
2-03	1.1500000000000001	3	15.843119479509435	602.8099126731094	633.8618562557128	571.7579690905059	0.44314607910001164	0.4203187387431726	0.4659734194568507	alpha
2-03	1.2000000000000002	3	15.888734827978356	559.2889000194476	590.4302480421924	528.1475519967029	0.4111523017740727	0.38825923717104954	0.43404536637709584	alpha
2-03	1.25	3	15.83031879438538	516.713690075988	547.7405447767709	485.68683537520513	0.3798538162039869	0.3570449195378936	0.40266271287008026	alpha
2-03	1.3	3	15.65960500669787	475.5061505200182	506.1984123452691	444.8138886947673	0.3495607516745568	0.3269978256167258	0.37212367773238775	alpha
2-03	1.35	3	15.374486241006453	436.057498162954	466.19093747613323	405.9240588497748	0.3205607049761007	0.2984085883623932	0.3427128215898081	alpha
2-03	1.4000000000000001	3	14.979525609316209	398.70594518488974	428.0652758846449	369.3466144851346	0.29310230739082166	0.27151926436005386	0.31468535042158946	alpha
2-03	1.4500000000000002	3	14.485615466688609	363.7186728527381	392.10995746134415	335.32738824413207	0.2673819729596176	0.24651057355093042	0.28825337236830467	alpha
2-03	1.5	3	13.90882769464238	331.2804397624734	358.5412411111457	304.0196384138011	0.24353552401331724	0.22349518131686352	0.26357586670977096	alpha
2-03	1.55	3	13.268677079401519	301.4899735102982	327.4961027084173	275.48384431217914	0.22163553856737195	0.20251754806252054	0.24075352907222333	alpha
2-03	1.6	3	12.58613275242647	274.3639253785914	299.0322922779872	249.6955584791955	0.2016942575460648	0.18355970162811028	0.2198288134640193	alpha
2-03	1.6500000000000001	3	11.881727907972271	249.84696747875256	273.13472625248266	226.55920870502246	0.18367100753579954	0.16655138363007646	0.2007906314415226	alpha
2-03	1.7000000000000002	3	11.17404213792928	227.82587201720492	249.72659216927926	205.92515186513057	0.16748255093262526	0.15138258631555154	0.18358251554969898	alpha
2-03	1.75	3	10.478702732832968	208.14523758565937	228.68311754671342	187.60735762460533	0.15301464687334096	0.13791655245513715	0.16811274129154477	alpha
2-03	1.8	3	9.807920010600542	190.62283352918163	209.8460035132084	171.39966354515488	0.14013333140259648	0.1260017250251911	0.15426493778000186	alpha
2-03	1.85	3	9.170474037890799	175.06312260177546	193.03692143720102	157.0893237663499	0.12869485843715808	0.11548170730443866	0.1419080095698775	alpha
2-03	1.9000000000000001	3	8.572020741190723	161.2681803059498	178.06903223341396	144.46732837848566	0.11855372694398522	0.10620284899610881	0.13090460489186162	alpha
2-03	1.9500000000000002	3	8.015579464672072	149.04579780109043	164.75604486706652	133.33555073511434	0.10956863766389875	0.09801950046058426	0.12111777486721324	alpha
2-03	2	3	7.502086272403145	138.21495608816898	152.9187749909915	123.51113718534647	0.10160651737103499	0.09079723975698904	0.11241579498508093	alpha
2-03	2.0500000000000003	3	7.030931332323198	128.6090837113451	142.3894559004728	114.82871152221742	0.09454491372014583	0.08441449320819529	0.10467533423209636	alpha
2-03	2.1	3	6.60043245421424	120.07759133032597	133.0142012229752	107.14098143767674	0.08827312336295831	0.07876298122652217	0.09778326549939445	alpha
2-03	2.15	3	6.208223839482508	112.48616159713254	124.65405673048122	100.31826646378386	0.08269240504644947	0.07374737128724579	0.09163743880565314	alpha
2-03	2.2	3	5.851557472400739	105.71620589352409	117.18504779289577	94.24736399415241	0.07771558024204098	0.06928444430237611	0.08614671618170584	alpha
2-03	2.25	3	5.527525195090331	99.66381343733704	110.49756374335182	88.83006313132226	0.07326626059790928	0.0653020020992896	0.08123051909652897	alpha
2-03	2.3000000000000003	3	5.233214321423161	94.23843345271293	104.49534504608154	83.98152185934431	0.0692778791574773	0.06173767442507506	0.07681808388987951	alpha
2-03	2.35	3	4.965810704470448	89.36145787877435	99.09426801357989	79.6286477439688	0.0656926484603348	0.05853772854414091	0.0728475683765287	alpha
2-03	2.4000000000000004	3	4.722662137418215	84.96481403912534	94.22106173961599	75.7085663386347	0.06246052596569988	0.05565594331134116	0.06926510862005858	alpha
2-03	2.45	3	4.501312993009892	80.9896334906007	89.81204484004228	72.16722214115912	0.059538235477838236	0.05305258068763146	0.06602389026804502	alpha
2-03	2.5	3	4.299518799119913	77.38503276806115	85.81193476518908	68.95813077093322	0.05688837083007375	0.05069346842306514	0.06308327323708238	alpha
2-03	2.5500000000000003	3	4.115247386675693	74.10702124519004	82.17275791054698	66.0412845798331	0.054478593016096886	0.04854919553413412	0.06040799049805966	alpha
2-03	2.6	3	3.9466714956043085	71.1175382646406	78.85287225483587	63.38220427444533	0.05228092235157167	0.04659441511899577	0.05796742958414757	alpha
2-03	2.6500000000000004	3	3.7921563250368253	68.3836138909415	75.81610371175945	60.95112407012356	0.05027112151503882	0.044807245336492454	0.0557349976935852	alpha
2-03	2.7	3	3.6502444420887126	65.87664342240079	73.03099106366217	58.72229578113941	0.04842816221692956	0.04316875781914115	0.05368756661471797	alpha
2-03	2.75	3	3.5196396690053118	63.571763921581756	70.47013091139064	56.67339693177287	0.046733766865903165	0.041662542555455415	0.051804991176350915	alpha
2-03	2.8000000000000003	3	3.399190995264989	61.44732060832218	68.10961253561442	54.78502868102994	0.04517201629619788	0.04027433879732069	0.050069693795075074	alpha
2-03	2.85	3	3.287877157553577	59.48441140357831	65.92853221797525	53.040290589181375	0.043729014946312525	0.03899172245640725	0.048466307436217805	alpha
2-03	2.9000000000000004	3	3.1847922527841095	57.66649881893184	63.90857693263088	51.424420705232805	0.04239260554577649	0.037803841520222474	0.04698136957133051	alpha
2-03	2.95	3	3.0891325629263475	55.97907950122996	62.03366806803551	49.92449093442441	0.041152126186169966	0.0367011921063938	0.045603060265946134	alpha
2-03	3	3	3.0001846488908255	54.40940290854408	60.28965676734005	48.52914904974811	0.039998203510248374	0.0356754288065563	0.04432097821394045	alpha
2-03	3.0500000000000003	3	2.917314694444846	52.946231721814115	58.664063454495484	47.22839998913275	0.03892257658238943	0.034719203910471515	0.04312594925430735	alpha
2-03	3.1	3	2.8399590358537563	51.57963763793779	57.14585506578025	46.01342021009533	0.03791794676914436	0.03382603093181448	0.04200986260647424	alpha
2-03	3.1500000000000004	3	2.767615788455376	50.30082712304193	55.72525439145889	44.876399854624964	0.03697784964453838	0.032990168578209106	0.04096553071086766	alpha
2-03	3.2	3	2.699837470531313	49.10199252372123	54.39357673007432	43.810408317368136	0.036096545536876024	0.03220652192582679	0.03998656914792525	alpha
2-03	3.25	3	2.6362245226797847	47.97618464289127	53.14308976250494	42.809279523277596	0.03526892585491463	0.03147055808308234	0.03906729362674693	alpha
2-03	3.3000000000000003	3	2.57641962403753	46.91720349418473	51.96689316636052	41.867513822008945	0.03449043277770372	0.030778234069866607	0.038202631485540844	alpha
2-03	3.35	3	2.5201027128716946	45.9195044652827	50.858815019852905	40.980193910712494	0.03375699027205671	0.030125935009529783	0.037388045534583636	alpha
2-03	3.4000000000000004	3	2.4669866267688993	44.97811755750097	49.81332249630997	40.14291261869197	0.03306494472282272	0.02951042104092673	0.036619468404718705	alpha
2-03	3.45	3	2.4168132859241838	44.0885777372279	48.825444734997205	39.351710739458596	0.03241101373185856	0.02892878161664446	0.035893245847072666	alpha
2-03	3.5	3	2.3693503512780576	43.24686474444159	47.890706099703905	38.60302338917927	0.031792241869221555	0.028378396069272123	0.03520608766917099	alpha
2-03	3.5500000000000003	3	2.324388297109695	42.44935096344387	47.00506831186526	37.89363361502248	0.031205962351172203	0.027856899507317446	0.034555025195026956	alpha
2-03	3.6	3	2.2817378449755057	41.692756178926274	46.1648801772403	37.22063218061225	0.030649763779818737	0.027362153252125546	0.033937374307511925	alpha
2-03	3.6500000000000004	3	2.241227712495815	40.97410822323134	45.36683382087623	36.58138262558645	0.03012146121357984	0.026892219151971278	0.0333507032751884	alpha
2-03	3.7	3	2.2027026364170896	40.29070867391142	44.60792650994034	35.973490837882494	0.02961907095029287	0.026445337213611073	0.032792804686974666	alpha
2-03	3.75	3	2.166021634630502	39.6401028892368	43.88542728284716	35.39477849562644	0.02914078849929627	0.0260199060785119	0.032261670920080636	alpha
2-03	3.8000000000000003	3	2.1310564764510533	39.020053777230174	43.196847720095064	34.843259834365284	0.028684969298154193	0.025614465943653165	0.03175547265265522	alpha
2-03	3.85	3	2.097690334508276	38.42851878450724	42.539916290861235	34.317121278153245	0.028250111796370256	0.025227683587645124	0.031272540005095384	alpha
2-03	3.9000000000000004	3	2.065816595126702	37.863629667517834	41.91255579263133	33.81470354240434	0.027834842584538513	0.02485833921392682	0.030811345955150206	alpha
2-03	3.95	3	2.0353378071391406	37.32367467308357	41.31286347144902	33.334485874718126	0.02743790329465035	0.024505314865660842	0.030370491723639852	alpha
2-03	4	3	2.0061647517334666	36.80708280938115	40.73909346983248	32.87507214892982	0.027058139037159052	0.024167584202996344	0.029948693871321756	alpha
2-04	0	3	11.41322893778453	1444.835	1467.204517665368	1422.465482334632	1	0.9845175970506196	1.0154824029493803	alpha
2-04	0.05	3	11.53042241760877	1424.8037162901041	1447.4029289551506	1402.2045036250577	0.9861359368302292	0.9704945572505218	1.0017773164099364	alpha
2-04	0.1	3	11.653534747998107	1403.9911157800325	1426.831624178695	1381.15060738137	0.9717311082442164	0.9559227229277876	0.9875394935606453	alpha
2-04	0.15000000000000002	3	11.783564085038579	1382.341190359207	1405.4365515754023	1359.2458291430119	0.9567467498774649	0.9407619756878896	0.9727315240670403	alpha
2-04	0.2	3	11.921682213314988	1359.7930353841161	1383.1591031573453	1336.426967610887	0.941140708374393	0.9249685726127115	0.9573128441360745	alpha
2-04	0.25	3	12.069257614407448	1336.2806881849447	1359.9359984293192	1312.6253779405702	0.9248673296154541	0.9084950031945309	0.9412396560363773	alpha
2-04	0.30000000000000004	3	12.227877059047529	1311.73309405966	1335.6992927027768	1287.7668954165433	0.9078774351809445	0.8912899365093891	0.9244649338525	alpha
2-04	0.35000000000000003	3	12.399362492100108	1286.0742596251987	1310.3765635409718	1261.7719557094256	0.8901184284885116	0.8732983044495916	0.9069385525274317	alpha
2-04	0.4	3	12.585778197461293	1259.2236710764416	1283.8913430608752	1234.555999092008	0.8715345842787873	0.8544615814899335	0.8886075870676411	alpha
2-04	0.45	3	12.78942085070058	1231.09707559579	1256.1638798462889	1206.0302713452913	0.8520675894450163	0.8347183390112306	0.8694168398788019	alpha
2-04	0.5	3	13.012782079046067	1201.607747211868	1227.1123314254664	1176.1031629982695	0.8316574191598819	0.814005172215699	0.8493096661040648	alpha
2-04	0.55	3	13.258469699989895	1170.6683822286082	1196.6545053307038	1144.6822591265125	0.8102436487409345	0.7922581188346852	0.8282291786471838	alpha
2-04	0.6000000000000001	3	13.529070335253511	1138.1937908583516	1164.7102814597577	1111.6773002569455	0.7877673165851821	0.7694147084317209	0.8061199247386432	alpha
2-04	0.65	3	13.826933466962911	1104.104565664554	1131.204857276433	1077.004274052675	0.764173463173687	0.7454167943416896	0.7829301320056843	alpha
2-04	0.7000000000000001	3	14.153856666551347	1068.3319057195908	1096.0729550283736	1040.590856410808	0.7394144699703363	0.7202143195664613	0.7586146203742113	alpha
2-04	0.75	3	14.510655762292563	1030.8237463483529	1059.2641090345048	1002.3833836622008	0.7134543019433727	0.6937701423776422	0.733138461509103	alpha
