INDIVIDUAL	Q	N_GROUP	D_SD	D	D_UPPER	D_LOWER	E	E_LOWER	E_UPPER	DIVTYPE
2-03	0	3	1.5806797840946432	108.1475	111.24557544791604	105.04942455208395	1	0.9713532402698533	1.0286467597301467	alpha
2-03	0.05	3	1.4393681541248249	103.1942100733258	106.01531981590436	100.37310033074725	0.9541987570061796	0.9281129968861717	0.9802845171261876	alpha
2-03	0.1	3	1.3140886053766037	98.50056304100887	101.07612938004148	95.92499670197627	0.9107983359856574	0.8869830250535267	0.934613646917788	alpha
2-03	0.15000000000000002	3	1.2040346248718037	94.05959578933819	96.41946029022611	91.69973128845027	0.8697343515970152	0.8479135559162281	0.8915551472778023	alpha
2-03	0.2	3	1.108278761693082	89.86359205242161	92.0357785101707	87.69140559467252	0.8309354543787106	0.8108500482643844	0.8510208604930369	alpha
2-03	0.25	3	1.025780695360984	85.90419119414676	87.91468441309074	83.89369797520278	0.7943243366157032	0.7757340481768213	0.8129146250545851	alpha
2-03	0.30000000000000004	3	0.9554014091854125	82.17250131516927	84.04505366795149	80.29994896238705	0.7598187781980099	0.742503978015091	0.7771335783809288	alpha
2-03	0.35000000000000003	3	0.8959256828516589	78.65921371158642	80.41519578280013	76.90323164037271	0.7273327049777981	0.7110957871460063	0.7435696228095899	alpha
2-03	0.4	3	0.8460934814864549	75.35471585661278	77.01302860788034	73.69640310534523	0.6967772334692229	0.6814434277754478	0.7121110391629982	alpha
2-03	0.45	3	0.8046383504687055	72.24920034052741	73.8262625280258	70.67213815302902	0.6680616781758932	0.6534791664442454	0.682644189907541	alpha
2-03	0.5	3	0.7703285565676337	69.33276756204006	70.84258378917535	67.82295133490477	0.6410945011400178	0.6271337879738762	0.6550552143061592	alpha
2-03	0.55	3	0.7420055077593637	66.59552038610221	68.04982445764092	65.1412163145635	0.6157841872082315	0.602336774447523	0.6292315999689398	alpha
2-03	0.6000000000000001	3	0.718614481695176	64.0276494377071	65.43610794059856	62.619190934815634	0.5920400327118713	0.5790165369963766	0.605063528427366	alpha
2-03	0.65	3	0.6992246003334402	61.61950815859841	62.98996319235636	60.24905312484045	0.5697728394886467	0.5571007478197874	0.5824449311575058	alpha
2-03	0.7000000000000001	3	0.6830374184705358	59.36167718814686	60.70040592844232	58.02294844785139	0.5488955101888334	0.5365167798409708	0.561274240536696	alpha
2-03	0.75	3	0.6693855391811472	57.24501802058493	58.5569895691519	55.933046472017956	0.5293235444239112	0.5171922279481075	0.5414548608997148	alpha
2-03	0.8	3	0.6577238336655673	55.26071622423769	56.54983124999581	53.97160119847957	0.5109754383988321	0.4990554677498747	0.5228954090477895	alpha
2-03	0.8500000000000001	3	0.647616111910752	53.40031477656619	54.66961903171912	52.13101052141326	0.4937729931488587	0.48203620538073705	0.5055097809169803	alpha
2-03	0.9	3	0.6387197401565369	51.65573826966469	52.90760595658628	50.403870582743096	0.47764153835885886	0.4660659800988751	0.4892170966188426	alpha
2-03	0.9500000000000001	3	0.6307700671919835	50.01930887692863	51.25559549115083	48.78302226270644	0.4625100800011894	0.45107859416728485	0.473941565835094	alpha
2-03	1	3	0.6235796473597861	48.48672798691342	49.70892163723079	47.26453433659606	0.4483388704030461	0.4370376970026682	0.45964004380342394	alpha
2-03	1.05	3	0.6169563866667978	47.042213934143014	48.25142623204191	45.83300163624412	0.43498198233101104	0.4238008427031982	0.4461631219588239	alpha
2-03	1.1	3	0.6108304162687672	45.68822850414188	46.88543412069028	44.49102288759349	0.4224621790068368	0.41139206072811196	0.43353229728556164	alpha
2-03	1.1500000000000001	3	0.605107085685509	44.41574032164836	45.601728416381945	43.22975222691477	0.4106959506382335	0.3997295566417603	0.42166234463470675	alpha
2-03	1.2000000000000002	3	0.5997285188959735	43.21907881691397	44.394525114451625	42.04363251937632	0.3996308635605444	0.38876194567027733	0.4104997814508114	alpha
2-03	1.25	3	0.5946539545299282	42.09294785996698	43.25844819410996	40.92744752582401	0.3892179464154695	0.37844099517625474	0.3999948976546842	alpha
