REPLICATE	NSEQS	NREADS	NREADS_RAW	STAGE	CLUSTER_BARCODES	CLUSTER_SETS	NREADS_PC
1-01A	320291	320291	320291	presto_raw	0.9	0.75	1
1-01B	922955	922955	922955	presto_raw	0.9	0.75	1
1-02A	349209	349209	349209	presto_raw	0.9	0.75	1
1-02B	420716	420716	420716	presto_raw	0.9	0.75	1
1-03A	372621	372621	372621	presto_raw	0.9	0.75	1
1-03B	614354	614354	614354	presto_raw	0.9	0.75	1
1-04A	424559	424559	424559	presto_raw	0.9	0.75	1
1-04B	810654	810654	810654	presto_raw	0.9	0.75	1
1-05A	395341	395341	395341	presto_raw	0.9	0.75	1
1-05B	381863	381863	381863	presto_raw	0.9	0.75	1
1-06A	436432	436432	436432	presto_raw	0.9	0.75	1
1-06B	405393	405393	405393	presto_raw	0.9	0.75	1
1-07A	385238	385238	385238	presto_raw	0.9	0.75	1
1-07B	922751	922751	922751	presto_raw	0.9	0.75	1
1-08A	203241	203241	203241	presto_raw	0.9	0.75	1
1-08B	800459	800459	800459	presto_raw	0.9	0.75	1
1-09A	333424	333424	333424	presto_raw	0.9	0.75	1
1-09B	538389	538389	538389	presto_raw	0.9	0.75	1
1-10A	274512	274512	274512	presto_raw	0.9	0.75	1
1-10B	277012	277012	277012	presto_raw	0.9	0.75	1
2-01A	298330	298330	298330	presto_raw	0.9	0.75	1
2-01B	647718	647718	647718	presto_raw	0.9	0.75	1
2-02A	328768	328768	328768	presto_raw	0.9	0.75	1
2-02B	327621	327621	327621	presto_raw	0.9	0.75	1
2-03A	311940	311940	311940	presto_raw	0.9	0.75	1
2-03B	445649	445649	445649	presto_raw	0.9	0.75	1
2-04A	304485	304485	304485	presto_raw	0.9	0.75	1
2-04B	460547	460547	460547	presto_raw	0.9	0.75	1
2-05A	290004	290004	290004	presto_raw	0.9	0.75	1
2-05B	469044	469044	469044	presto_raw	0.9	0.75	1
2-06A	305533	305533	305533	presto_raw	0.9	0.75	1
2-06B	658058	658058	658058	presto_raw	0.9	0.75	1
2-07A	388333	388333	388333	presto_raw	0.9	0.75	1
2-07B	329647	329647	329647	presto_raw	0.9	0.75	1
2-08A	375495	375495	375495	presto_raw	0.9	0.75	1
2-08B	483270	483270	483270	presto_raw	0.9	0.75	1
2-09A	343078	343078	343078	presto_raw	0.9	0.75	1
2-09B	453119	453119	453119	presto_raw	0.9	0.75	1
2-10A	401594	401594	401594	presto_raw	0.9	0.75	1
2-10B	500590	500590	500590	presto_raw	0.9	0.75	1
3-01A	301764	301764	301764	presto_raw	0.9	0.75	1
3-01B	401622	401622	401622	presto_raw	0.9	0.75	1
3-02A	360544	360544	360544	presto_raw	0.9	0.75	1
3-02B	457738	457738	457738	presto_raw	0.9	0.75	1
3-03A	371414	371414	371414	presto_raw	0.9	0.75	1
3-03B	490254	490254	490254	presto_raw	0.9	0.75	1
