REPLICATE	NSEQS	NREADS	NREADS_RAW	STAGE	CLUSTER_BARCODES	CLUSTER_SETS	NREADS_PC
1009	1796877	1796877	1796877	presto_raw	0.9	0.75	1
1015	825963	825963	825963	presto_raw	0.9	0.75	1
1026	1260031	1260031	1260031	presto_raw	0.9	0.75	1
1271	2009279	2009279	2009279	presto_raw	0.9	0.75	1
1274	1574800	1574800	1574800	presto_raw	0.9	0.75	1
1298	1151409	1151409	1151409	presto_raw	0.9	0.75	1
1301	1407185	1407185	1407185	presto_raw	0.9	0.75	1
1305	1227708	1227708	1227708	presto_raw	0.9	0.75	1
1309	2645261	2645261	2645261	presto_raw	0.9	0.75	1
1403	1236189	1236189	1236189	presto_raw	0.9	0.75	1
1409	1121785	1121785	1121785	presto_raw	0.9	0.75	1
1412	1060432	1060432	1060432	presto_raw	0.9	0.75	1
1414	1159283	1159283	1159283	presto_raw	0.9	0.75	1
402	1302770	1302770	1302770	presto_raw	0.9	0.75	1
938	1040224	1040224	1040224	presto_raw	0.9	0.75	1
940	1351036	1351036	1351036	presto_raw	0.9	0.75	1
999	904879	904879	904879	presto_raw	0.9	0.75	1
dash	862614	862614	862614	presto_raw	0.9	0.75	1
1009	1661712	1661712	1796877	presto_filter	0.9	0.75	0.924777822855988
1015	765700	765700	825963	presto_filter	0.9	0.75	0.92703910465723
1026	1167646	1167646	1260031	presto_filter	0.9	0.75	0.926680375324099
1271	1942966	1942966	2009279	presto_filter	0.9	0.75	0.96699661918529
1274	1510198	1510198	1574800	presto_filter	0.9	0.75	0.958977647955296
1298	1088952	1088952	1151409	presto_filter	0.9	0.75	0.945756025877859
1301	1324774	1324774	1407185	presto_filter	0.9	0.75	0.941435561066953
1305	1166700	1166700	1227708	presto_filter	0.9	0.75	0.950307402085838
1309	2560148	2560148	2645261	presto_filter	0.9	0.75	0.967824347011505
1403	1133643	1133643	1236189	presto_filter	0.9	0.75	0.9170466651944
1409	1055529	1055529	1121785	presto_filter	0.9	0.75	0.94093698881693
1412	974710	974710	1060432	presto_filter	0.9	0.75	0.919163133515397
1414	1100342	1100342	1159283	presto_filter	0.9	0.75	0.949157367096731
402	1212927	1212927	1302770	presto_filter	0.9	0.75	0.931036944357024
938	963126	963126	1040224	presto_filter	0.9	0.75	0.925883271295413
940	1276183	1276183	1351036	presto_filter	0.9	0.75	0.944595850887763
999	847246	847246	904879	presto_filter	0.9	0.75	0.936308611427605
dash	795857	795857	862614	presto_filter	0.9	0.75	0.922610808542407
1009	1638544	1638544	1796877	presto_mask	0.9	0.75	0.91188434155482
1015	746821	746821	825963	presto_mask	0.9	0.75	0.904182148595034
1026	1142544	1142544	1260031	presto_mask	0.9	0.75	0.90675864323973
1271	1879003	1879003	2009279	presto_mask	0.9	0.75	0.935162812133108
1274	1475435	1475435	1574800	presto_mask	0.9	0.75	0.936903098806198
1298	1066799	1066799	1151409	presto_mask	0.9	0.75	0.926516120683441
1301	1283697	1283697	1407185	presto_mask	0.9	0.75	0.912244658662507
1305	1144677	1144677	1227708	presto_mask	0.9	0.75	0.932369097537851
1309	2518516	2518516	2645261	presto_mask	0.9	0.75	0.95208601344064
1403	1101647	1101647	1236189	presto_mask	0.9	0.75	0.891163891605572
1409	1032714	1032714	1121785	presto_mask	0.9	0.75	0.920598866984315
1412	951662	951662	1060432	presto_mask	0.9	0.75	0.897428595138585
1414	1064194	1064194	1159283	presto_mask	0.9	0.75	0.917976024836041
402	1198413	1198413	1302770	presto_mask	0.9	0.75	0.919896067609785
938	938749	938749	1040224	presto_mask	0.9	0.75	0.902448895622481
940	1250588	1250588	1351036	presto_mask	0.9	0.75	0.925651129947685
999	829918	829918	904879	presto_mask	0.9	0.75	0.917159089778854
dash	782298	782298	862614	presto_mask	0.9	0.75	0.906892306408197
1009	1620585	1620585	1796877	presto_correct	0.9	0.75	0.901889778766159
1015	737295	737295	825963	presto_correct	0.9	0.75	0.892648944323172
1026	1055285	1055285	1260031	presto_correct	0.9	0.75	0.837507172442583
