time	type	event	weight
42	2	1	0.6
47	1	1	0.5
50	1	1	1.7
56	3	1	0.8
57	1	1	1.4
58	1	1	1.5
58	1	1	1.4
63	2	0	0.0
63	1	1	1.4
63	2	0	0.0
63	1	1	0.7
63	2	1	1.3
63	3	0	0.0
63	1	1	1.1
64	2	1	1.0
65	1	1	1.0
66	1	1	1.5
67	2	1	1.3
67	1	1	1.6
68	1	1	1.6
68	1	1	1.4
69	2	1	1.1
69	2	1	1.2
70	2	1	0.7
71	2	1	1.8
71	2	1	1.3
72	2	1	1.4
73	3	1	1.0
75	4	1	0.9
75	3	0	1.6
75	2	1	1.2
77	3	1	1.3
78	3	1	1.2
79	4	0	1.4
79	1	1	1.4
80	4	1	1.5
80	2	1	1.4
80	2	0	1.5
81	4	1	0.8
82	4	1	1.0
82	4	1	1.0
82	3	1	0.8
83	4	1	1.0
85	1	1	3.3
86	3	1	1.3
86	2	1	2.3
86	3	1	1.1
86	2	1	1.3
89	1	1	3.0
89	1	1	2.7
90	3	1	1.5
90	2	1	1.5
91	4	1	1.0
99	1	1	2.4
100	3	1	1.5
101	4	1	0.9
103	1	1	1.9
103	3	1	1.3
103	4	1	1.6
105	3	1	1.8
105	4	1	1.1
106	2	1	2.5
106	4	1	1.2
106	3	1	1.0
107	3	1	1.0
111	2	1	1.6
112	2	1	1.8
112	4	1	2.1
114	3	1	1.2
114	3	1	1.6
115	3	1	1.7
115	2	1	2.5
118	1	1	2.6
132	3	1	2.4
132	2	1	2.8
134	4	1	1.4
135	1	1	2.6
137	4	1	1.3
137	1	1	3.4
144	1	1	4.7
150	4	1	2.3
154	3	1	2.1
156	2	1	3.1
162	4	1	1.9
163	1	1	2.9
165	1	1	3.9
166	1	1	3.2
173	3	1	2.2
179	3	1	1.6
179	3	1	1.9
179	3	1	2.4
182	4	1	2.0
182	1	1	3.7
183	1	1	3.8
183	2	1	3.6
185	3	1	1.5
190	2	0	4.3
191	4	1	2.0
209	2	1	2.8
211	4	1	2.9
218	3	1	2.2
228	4	1	1.7
248	2	1	3.4
253	4	1	1.6
254	4	1	2.0
259	3	1	3.6
271	4	1	1.6
277	4	1	1.5
283	4	1	1.5
293	3	1	1.8
295	4	1	2.4
319	4	1	1.5
