Group,#,Fish ID,Death weight (g),Hatch date,Sacrifice date,Age (days),Age (weeks),Strain,Sex
1,1,grz-AD_4194_E,1.24,2016-05-09,2016-06-17,39,5.5714285714,GRZ-AD,Male
1,2,grz-AD_4107_E,1.39,2016-05-09,2016-06-17,39,5.5714285714,GRZ-AD,Male
1,3,grz-AD_4127_E,1.29,2016-05-09,2016-06-17,39,5.5714285714,GRZ-AD,Male
1,4,grz-AD_4204_E,1.35,2016-05-09,2016-06-17,39,5.5714285714,GRZ-AD,Male
1,5,grz-AD_4189_E,1.43,2016-05-09,2016-06-17,39,5.5714285714,GRZ-AD,Male
1,6,grz-AD_4160_E,0.68,2016-05-09,2016-06-17,39,5.5714285714,GRZ-AD,Male
1,7,grz-AD_4164_E,1.57,2016-05-09,2016-06-17,39,5.5714285714,GRZ-AD,Male
1,8,grz-AD_4171_E,1.4,2016-05-09,2016-06-17,39,5.5714285714,GRZ-AD,Male
1,9,grz-AD_4200_E,1.42,2016-05-09,2016-06-17,39,5.5714285714,GRZ-AD,Male
1,10,grz-AD_4131_E,1.27,2016-05-09,2016-06-17,39,5.5714285714,GRZ-AD,Male
2,1,grz-AD_4159_E,1.37,2016-05-09,2016-07-04,56,8,GRZ-AD,Male
2,2,grz-AD_4179_E,1.47,2016-05-09,2016-07-04,56,8,GRZ-AD,Male
2,3,grz-AD_4152_E,1.33,2016-05-09,2016-07-04,56,8,GRZ-AD,Male
2,4,grz-AD_4132_E,1.35,2016-05-09,2016-07-04,56,8,GRZ-AD,Male
2,5,grz-AD_4177_E,1.22,2016-05-09,2016-07-04,56,8,GRZ-AD,Male
2,6,grz-AD_4158_E,1.51,2016-05-09,2016-07-04,56,8,GRZ-AD,Male
2,7,grz-AD_4182_E,1.12,2016-05-09,2016-07-04,56,8,GRZ-AD,Male
2,8,grz-AD_4202_E,1.54,2016-05-09,2016-07-04,56,8,GRZ-AD,Male
2,9,grz-AD_4143_E,1.28,2016-05-09,2016-07-04,56,8,GRZ-AD,Male
2,10,grz-AD_4201_E,1.55,2016-05-09,2016-07-04,56,8,GRZ-AD,Male
3,1,grz-AD_4155_E,2.06,2016-05-09,2016-07-21,73,10.4285714286,GRZ-AD,Male
3,2,grz-AD_4193_E,1.92,2016-05-09,2016-07-21,73,10.4285714286,GRZ-AD,Male
3,3,grz-AD_4170_E,1.8,2016-05-09,2016-07-21,73,10.4285714286,GRZ-AD,Male
3,4,grz-AD_4135_E,1.65,2016-05-09,2016-07-21,73,10.4285714286,GRZ-AD,Male
3,5,grz-AD_4190_E,1.87,2016-05-09,2016-07-21,73,10.4285714286,GRZ-AD,Male
3,6,grz-AD_4099_E,1.94,2016-05-09,2016-07-21,73,10.4285714286,GRZ-AD,Male
3,7,grz-AD_4198_E,1.49,2016-05-09,2016-07-21,73,10.4285714286,GRZ-AD,Male
3,8,grz-AD_4024_E,1.73,2016-05-09,2016-07-21,73,10.4285714286,GRZ-AD,Male
3,9,grz-AD_4044_E,1.53,2016-05-09,2016-07-21,73,10.4285714286,GRZ-AD,Male
3,10,grz-AD_4117_E,1.57,2016-05-09,2016-07-21,73,10.4285714286,GRZ-AD,Male
4,1,grz-AD_4173_E,2.2,2016-05-09,2016-09-14,128,18.2857142857,GRZ-AD,Male
4,2,grz-AD_4197_E,2.4,2016-05-09,2016-09-14,128,18.2857142857,GRZ-AD,Male
