id	p	v	d	j
2-03	0.0141143	IGHV1-01*01	NA	NA
2-03	0.193366	IGHV1-02*01	NA	NA
2-03	0.0250838	IGHV2-01*01	NA	NA
2-03	0.0296401	IGHV1-03*01	NA	NA
2-03	0.0395201	IGHV3-01*01	NA	NA
2-03	0.0183486	IGHV2-02*01	NA	NA
2-03	0.0	IGHV4-01*01	NA	NA
2-03	0.0239944	IGHV1-04*01	NA	NA
2-03	0.0229049	IGHV2-03*01	NA	NA
2-03	0.0261115	IGHV1-05*01	NA	NA
2-03	0.0162315	IGHV5-01*01	NA	NA
2-03	0.0564576	IGHV2-04*01	NA	NA
2-03	0.0	IGHV6-01*01	NA	NA
2-03	0.122089	IGHV1-06*01	NA	NA
2-03	0.0	IGHV4-02*01	NA	NA
2-03	0.124206	IGHV2-05*01	NA	NA
2-03	0.0	IGHV1-07*01	NA	NA
2-03	0.211715	IGHV2-02*02	NA	NA
2-03	0.0	IGHV4-01*02	NA	NA
2-03	0.00635145	IGHV5-01*02	NA	NA
2-03	0.037403	IGHV1-03*02	NA	NA
2-03	0.0317572	IGHV1-02*02	NA	NA
2-03	0.0	IGHV2-01*02	NA	NA
2-03	0.000705716	IGHV1-01*02	NA	NA
2-03	0.062107705560058915	NA	IGHD1-01*01	NA
2-03	0.05926939257451074	NA	IGHD1-02*01	NA
2-03	0.018161106351273475	NA	IGHD1-03*01	NA
2-03	0.014083245376611833	NA	IGHD1-04*01	NA
2-03	0.05279754079522435	NA	IGHD1-05*22	NA
2-03	0.04036436165145599	NA	IGHD1-06*23	NA
2-03	0.17792728933484708	NA	IGHD1-07*24	NA
2-03	0.18589832183458982	NA	IGHD1-08*01	NA
2-03	0.1894515932573081	NA	IGHD1-09*01	NA
2-03	0.030565388075709198	NA	IGHD1-10*01	NA
2-03	0.16937415296147737	NA	IGHD2-01*02	NA
2-03	0.0	NA	NA	IGHJ1-01*01
2-03	0.022582928346203998	NA	NA	IGHJ1-02*21
2-03	0.0	NA	NA	IGHJ1-03*22
2-03	0.08595964444303605	NA	NA	IGHJ1-04*01
2-03	0.10938605219334999	NA	NA	IGHJ1-05*24
2-03	0.0010587423063	NA	NA	IGHJ1-06*01
2-03	0.12485115067878	NA	NA	IGHJ1-07*01
2-03	0.1714890863644	NA	NA	IGHJ1-08*27
2-03	0.09880032115311001	NA	NA	IGHJ1-09*28
2-03	0.113680801296865	NA	NA	IGHJ2-06*02
2-03	0.00035269046641	NA	NA	IGHJ2-05*02
2-03	0.27183859723474	NA	NA	IGHJ2-03*02
2-03	0.0	IGHV1-01*01	NA	IGHJ1-01*01
2-03	0.0	IGHV1-02*01	NA	IGHJ1-01*01
2-03	0.0	IGHV2-01*01	NA	IGHJ1-01*01
2-03	0.0	IGHV1-03*01	NA	IGHJ1-01*01
2-03	0.000705715	IGHV3-01*01	NA	IGHJ1-01*01
2-03	0.0	IGHV2-02*01	NA	IGHJ1-01*01
2-03	0.0021713721406	IGHV4-01*01	NA	IGHJ1-01*01
2-03	0.000705715	IGHV1-04*01	NA	IGHJ1-01*01
2-03	0.002117145	IGHV2-03*01	NA	IGHJ1-01*01
2-03	0.0027686328594	IGHV1-05*01	NA	IGHJ1-01*01
2-03	0.0	IGHV5-01*01	NA	IGHJ1-01*01
2-03	0.00564572	IGHV2-04*01	NA	IGHJ1-01*01
2-03	0.0	IGHV6-01*01	NA	IGHJ1-01*01
2-03	0.0063514349922000005	IGHV1-06*01	NA	IGHJ1-01*01
2-03	0.0	IGHV4-02*01	NA	IGHJ1-01*01
