seqnames	start	end	width	strand	label	type
NORv12scf21286_1_2566_2566	129	517	389	-	IGHM4-TM2	CH
NORv12scf21286_1_2566_2566	2022	2173	152	-	IGHM4-TM1	CH
NORv12scf26119_1_3803_3803	36	332	297	-	IGHD5-2B	CH
NORv12scf27951_1_4440_4440	1	192	192	-	IGHD6-4A	CH
NORv12scf27951_1_4440_4440	275	586	312	-	IGHD6-3A	CH
NORv12scf27951_1_4440_4440	700	990	291	-	IGHD6-2A	CH
NORv12scf27951_1_4440_4440	1075	1383	309	-	IGHD6-1	CH
NORv12scf27951_1_4440_4440	1982	2370	389	-	IGHM3-TM2	CH
NORv12scf32033_1_9001_9001	2396	2575	180	-	IGHD6-TM2	CH
NORv12scf32033_1_9001_9001	2735	2883	149	-	IGHD6-TM1	CH
NORv12scf32033_1_9001_9001	3014	3301	288	-	IGHD6-7	CH
NORv12scf32033_1_9001_9001	3372	3689	318	-	IGHD6-6	CH
NORv12scf32033_1_9001_9001	3771	4100	330	-	IGHD6-5	CH
NORv12scf32033_1_9001_9001	4219	4497	279	-	IGHD6-4B	CH
NORv12scf32033_1_9001_9001	4583	4894	312	-	IGHD6-3B	CH
NORv12scf32033_1_9001_9001	4986	5282	297	-	IGHD6-2B	CH
NORv12scf32137_1_9321_9321	6652	6948	297	+	IGHM4-1	CH
NORv12scf32137_1_9321_9321	8157	8498	342	+	IGHM4-2	CH
NORv12scf32137_1_9321_9321	8580	8891	312	+	IGHM4-3	CH
NORv12scf32137_1_9321_9321	8999	9321	323	+	IGHM4-4	CH
NORv12scf33789_1_55994_55994	1418	1569	152	-	IGHM3-TM1	CH
NORv12scf33789_1_55994_55994	2507	2979	473	-	IGHM3-4	CH
NORv12scf33789_1_55994_55994	3089	3400	312	-	IGHM3-3	CH
NORv12scf33789_1_55994_55994	3482	3823	342	-	IGHM3-2	CH
NORv12scf33789_1_55994_55994	5216	5512	297	-	IGHM3-1	CH
NORv12scf33878_1_112686_112686	16890	17058	169	-	IGHD1-TM2	CH
