\textnormal{\textbf{Species}},\textbf{Scaffold(s)},\textbf{Region},\textbf{Isotype},\textbf{Known Exons} \tnote{1},\textbf{Complete?},\textbf{Pseudo-exons},\textbf{Comments}
Nothobranchius orthonotus,scf33878,IGHM1,M,"1,2,3,TM1",\textbf{No},--,CM4 missing (missing sequence)
Nothobranchius orthonotus,scf33878,IGHD1,D,"1,2,3,4,2,3,4,5,6,7,TM1",Yes,--,
Nothobranchius orthonotus,scf34438,IGHM2,M,"1,2,3,4,TM1",Yes,--,
Nothobranchius orthonotus,"scf34438, scf33917",IGHD2,D,"1,2,3,4,2,3,4,5,6,7,TM1",Yes,--,
Nothobranchius orthonotus,scf33917,IGHD3,D,"1,2,3,4,2,3,4,5,6,7,TM1",Yes,--,
Nothobranchius orthonotus,scf33917,IGHD4,D,"1,2,3,4,2,3,4,5,6,7,TM1",Yes,--,
Nothobranchius orthonotus,"scf9255, scf26119, scf33917",IGHD5,D,"3,4,2,3,4,5,6,7,TM1",\textbf{No},--,CD1 & CD2A missing (missing sequence)
Nothobranchius orthonotus,"scf27951, scf33789",IGHM3,M,"1,2,3,4,TM1",Yes,--,
Nothobranchius orthonotus,"scf27951, 32033",IGHD6,D,"1,2,3,4,2,3,4,5,6,7,TM1",Yes,--,
Nothobranchius orthonotus,"scf32137, scf21286",IGHM4,M,"1,2,3,4,TM1",Yes,--,
Nothobranchius furzeri,chr6 \tnote{2},IGH1M,M,"1,2,3,4,TM1",Yes,--,
Nothobranchius furzeri,chr6 \tnote{2},IGH1D,D,"1,2,3,4,2,3,4,5,6,7,TM1",Yes,--,
Nothobranchius furzeri,chr6 \tnote{2},IGH2M,M,"1,2,3,4,TM1",Yes,--,
Nothobranchius furzeri,chr6 \tnote{2},IGH2D,D,"1,2,3,4,2,3,4,5,6,7,TM1",Yes,--,
Aphyosemion australe,scf373,IGHM,M,"1,2,3,4,TM1",Yes,--,
Aphyosemion australe,scf373,IGHD,D,"1,2,3,4,5,6,7,TM1",Yes,--,
Callopanchax toddi,scf107,IGHZ1,Z,"1,2,3,4,TM1",Yes,--,
Callopanchax toddi,scf107,IGHZ2,Z,"1,2,3,4,TM1",Yes,--,
Callopanchax toddi,scf1209,IGHZ3,Z,"1,2,3,4,TM1",Yes,--,
Callopanchax toddi,scf1209,IGHM1,M,1,\textbf{No},--,Isolated CM1 exon
Callopanchax toddi,scf945,IGHZ4,Z,"1,2,3,4,TM1",Yes,--,
Callopanchax toddi,scf945,IGHM2,M,"1,2,3,4,TM1",Yes,--,
Callopanchax toddi,scf945,IGHD1,D,"1,2,3,4,5,6,7,TM1",Yes,"1,4,5","Frameshift mutations in CD1, CD4 & CD5"
Callopanchax toddi,scf265,IGHM3,M,"1,2,3,4,TM1",Yes,--,
Callopanchax toddi,scf265,IGHD2,D,"1,5,7,TM1",\textbf{No},--,CD2-4 & CD5-6 missing (not in sequence)
Pachypanchax playfairii,scf547,IGHZ,Z,"1,2,3,4,TM1",Yes,--,
Pachypanchax playfairii,scf125,IGHM1,M,"1,2,3,4,TM1",Yes,--,
Pachypanchax playfairii,scf125,IGHD,D,"1,2,3,4,5,6,7,TM1",Yes,--,
