start	end	width	strand	seqnames	label	type
2653	2700	48	+	igh_xma_new	IGHJZ01	JH
120639	120689	51	+	igh_xma_new	IGHJZ02	JH
130376	130426	51	+	igh_xma_new	IGHJZ03	JH
158408	158454	47	+	igh_xma_new	IGHJZ04	JH
198186	198236	51	+	igh_xma_new	IGHJZ05	JH
222417	222464	48	+	igh_xma_new	IGHJZ06	JH
254130	254177	48	+	igh_xma_new	IGHJZ07	JH
276014	276064	51	+	igh_xma_new	IGHJM01	JH
276284	276333	50	+	igh_xma_new	IGHJM02	JH
276654	276704	51	+	igh_xma_new	IGHJM03	JH
276999	277049	51	+	igh_xma_new	IGHJM04	JH
277322	277375	54	+	igh_xma_new	IGHJM05	JH
277672	277724	53	+	igh_xma_new	IGHJM06	JH
278150	278205	56	+	igh_xma_new	IGHJM07	JH
278606	278661	56	+	igh_xma_new	IGHJM08	JH
