start	end	width	strand	seqnames	label	type
100001	100149	149	-	NC_024338.1_11381034_22057776_27946405	IGHD-TM1	CH
100286	100573	288	-	NC_024338.1_11381034_22057776_27946405	IGHD-7	CH
100649	100966	318	-	NC_024338.1_11381034_22057776_27946405	IGHD-6	CH
101057	101380	324	-	NC_024338.1_11381034_22057776_27946405	IGHD-5	CH
101468	101752	285	-	NC_024338.1_11381034_22057776_27946405	IGHD-4B	CH
101844	102158	315	-	NC_024338.1_11381034_22057776_27946405	IGHD-3B	CH
102254	102538	285	-	NC_024338.1_11381034_22057776_27946405	IGHD-2B	CH
103266	103550	285	-	NC_024338.1_11381034_22057776_27946405	IGHD-4A	CH
103667	103981	315	-	NC_024338.1_11381034_22057776_27946405	IGHD-3A	CH
104189	104473	285	-	NC_024338.1_11381034_22057776_27946405	IGHD-2A	CH
104582	104899	318	-	NC_024338.1_11381034_22057776_27946405	IGHD-1	CH
105085	105773	689	-	NC_024338.1_11381034_22057776_27946405	IGHM-TM2	CH
107764	107885	122	-	NC_024338.1_11381034_22057776_27946405	IGHM-TM1	CH
108472	108971	500	-	NC_024338.1_11381034_22057776_27946405	IGHM-4	CH
109120	109428	309	-	NC_024338.1_11381034_22057776_27946405	IGHM-3	CH
109523	109873	351	-	NC_024338.1_11381034_22057776_27946405	IGHM-2	CH
110783	111088	306	-	NC_024338.1_11381034_22057776_27946405	IGHM-1	CH
131161	131294	134	-	NC_024338.1_11381034_22057776_27946405	IGHZ2-TM1	CH
131721	132038	318	-	NC_024338.1_11381034_22057776_27946405	IGHZ2-4	CH
132157	132468	312	-	NC_024338.1_11381034_22057776_27946405	IGHZ2-3	CH
132554	132835	282	-	NC_024338.1_11381034_22057776_27946405	IGHZ2-2	CH
133035	133322	288	-	NC_024338.1_11381034_22057776_27946405	IGHZ2-1	CH
10492603	10492890	288	+	NC_024338.1_11381034_22057776_27946405	IGHZ1-1	CH
10493003	10493287	285	+	NC_024338.1_11381034_22057776_27946405	IGHZ1-2	CH
10493383	10493682	300	+	NC_024338.1_11381034_22057776_27946405	IGHZ1-3	CH
10493820	10494149	330	+	NC_024338.1_11381034_22057776_27946405	IGHZ1-4	CH
