start	end	width	strand	seqnames	label	type
25782	25807	26	+	locus	IGH1D01	DH
76700	76715	16	+	locus	IGH1D02	DH
77027	77038	12	+	locus	IGH1D03	DH
77476	77487	12	+	locus	IGH1D04	DH
78717	78730	14	+	locus	IGH1D05	DH
79049	79062	14	+	locus	IGH1D06	DH
80445	80399	-45	+	locus	IGH1D07	DH
81362	81375	14	+	locus	IGH1D08	DH
82067	82077	11	+	locus	IGH1D09	DH
84282	84293	12	+	locus	IGH1D10	DH
263525	263479	-45	-	locus	IGH2D04	DH
270243	270256	14	-	locus	IGH2D03	DH
270878	270891	14	-	locus	IGH2D02	DH
271749	271760	12	-	locus	IGH2D01	DH
