start	end	width	strand	seqnames	label	type
1252	1540	289	+	locus	IGH1V1-01	VH
3365	3656	292	+	locus	IGH1V1-02	VH
5907	6201	295	+	locus	IGH1V2-01	VH
13690	13964	275	+	locus	IGH1V1-03	VH
14862	15162	301	+	locus	IGH1V3-01	VH
17433	17730	298	+	locus	IGH1V2-02	VH
24566	24837	272	+	locus	IGH1V4-01p	VH
37305	37596	292	+	locus	IGH1V1-04	VH
48845	49139	295	+	locus	IGH1V2-03	VH
49909	50197	289	+	locus	IGH1V1-05	VH
51710	51998	289	+	locus	IGH1V5-01	VH
56322	56616	295	+	locus	IGH1V2-04	VH
57465	57762	298	+	locus	IGH1V6-01	VH
59678	59966	289	+	locus	IGH1V1-06	VH
68017	68288	272	+	locus	IGH1V4-02p	VH
69787	70084	298	+	locus	IGH1V2-05	VH
155485	155763	279	+	locus	IGH1V1-07	VH
282620	282914	295	-	locus	IGH2V2-02	VH
284404	284675	272	-	locus	IGH2V4-01p	VH
288808	289096	289	-	locus	IGH2V5-01	VH
289977	290271	295	-	locus	IGH2V1-03	VH
293835	294126	292	-	locus	IGH2V1-02	VH
303780	304074	295	-	locus	IGH2V2-01	VH
304926	305204	279	-	locus	IGH2V1-01	VH
