start	end	width	strand	seqnames	label	type
3380	3667	288	+	igh_xma_new	IGHZ1-1	CH
3814	4098	285	+	igh_xma_new	IGHZ1-2	CH
4195	4497	303	+	igh_xma_new	IGHZ1-3	CH
4934	5263	330	+	igh_xma_new	IGHZ1-4	CH
5264	5459	196	+	igh_xma_new	IGHZ1-S	CH
6345	6490	146	+	igh_xma_new	IGHZ1-TM1	CH
6645	7043	399	+	igh_xma_new	IGHZ1-TM2	CH
256059	256337	279	+	igh_xma_new	IGHZ2-1	CH
256453	256734	282	+	igh_xma_new	IGHZ2-2	CH
256893	257171	279	+	igh_xma_new	IGHZ2-3	CH
257319	257636	318	+	igh_xma_new	IGHZ2-4	CH
257637	257850	214	+	igh_xma_new	IGHZ2-S	CH
258059	258213	155	+	igh_xma_new	IGHZ2-TM1	CH
258410	258629	220	+	igh_xma_new	IGHZ2-TM2	CH
279664	279960	297	+	igh_xma_new	IGHM-1	CH
280880	281224	345	+	igh_xma_new	IGHM-2	CH
281321	281629	309	+	igh_xma_new	IGHM-3	CH
281789	282291	503	+	igh_xma_new	IGHM-4	CH
282910	283034	125	+	igh_xma_new	IGHM-TM1	CH
285028	285740	713	+	igh_xma_new	IGHM-TM2	CH
285902	286219	318	+	igh_xma_new	IGHD-1	CH
286310	286597	288	+	igh_xma_new	IGHD-2A	CH
286814	287128	315	+	igh_xma_new	IGHD-3A	CH
287250	287534	285	+	igh_xma_new	IGHD-4A	CH
288876	289166	291	+	igh_xma_new	IGHD-2B	CH
289262	289576	315	+	igh_xma_new	IGHD-3B	CH
289680	289964	285	+	igh_xma_new	IGHD-4B	CH
290052	290381	330	+	igh_xma_new	IGHD-5	CH
290472	290789	318	+	igh_xma_new	IGHD-6	CH
290865	291152	288	+	igh_xma_new	IGHD-7	CH
291286	291434	149	+	igh_xma_new	IGHD-TM1	CH
291541	291642	102	+	igh_xma_new	IGHD-TM2	CH
