start	end	width	strand	seqnames	label	type
61085	61381	297	+	NW_013952673.1_1_180837_699577	IGHM-1	CH
62439	62780	342	+	NW_013952673.1_1_180837_699577	IGHM-2	CH
62891	63190	300	+	NW_013952673.1_1_180837_699577	IGHM-3	CH
63281	63758	478	+	NW_013952673.1_1_180837_699577	IGHM-4	CH
64268	64398	131	+	NW_013952673.1_1_180837_699577	IGHM-TM1	CH
67697	68008	312	+	NW_013952673.1_1_180837_699577	IGHD-1	CH
68083	68373	291	+	NW_013952673.1_1_180837_699577	IGHD-2	CH
77874	78203	330	+	NW_013952673.1_1_180837_699577	IGHD-5	CH
78284	78601	318	+	NW_013952673.1_1_180837_699577	IGHD-6	CH
80258	80545	288	+	NW_013952673.1_1_180837_699577	IGHD-7	CH
80689	80837	149	+	NW_013952673.1_1_180837_699577	IGHD-TM1	CH
18198	18359	162	+	NW_013954375.1_1_36461_36461	IGHZ-TM1	CH
1324	1605	282	-	NW_013956335.1_1_3872_3872	IGHD-4	CH
1704	1878	175	-	NW_013956335.1_1_3872_3872	IGHD-3	CH
