seqnames	start	end	width	strand	label	type
CTOv12scf107_1_222850_1921754	4538	4668	131	-	IGHZ2-TM1	CH
CTOv12scf107_1_222850_1921754	4991	5296	306	-	IGHZ2-4	CH
CTOv12scf107_1_222850_1921754	5394	5702	309	-	IGHZ2-3	CH
CTOv12scf107_1_222850_1921754	5790	6068	279	-	IGHZ2-2	CH
CTOv12scf107_1_222850_1921754	6172	6432	261	-	IGHZ2-1	CH
CTOv12scf107_1_222850_1921754	116497	116636	140	-	IGHZ1-TM1	CH
CTOv12scf107_1_222850_1921754	117788	118117	330	-	IGHZ1-4	CH
CTOv12scf107_1_222850_1921754	118183	118494	312	-	IGHZ1-3	CH
CTOv12scf107_1_222850_1921754	118594	118869	276	-	IGHZ1-2	CH
CTOv12scf107_1_222850_1921754	119220	119507	288	-	IGHZ1-1	CH
CTOv12scf1209_1_23403_23403	62	358	297	-	IGHM3-1	CH
CTOv12scf1209_1_23403_23403	17781	17911	131	-	IGHZ3-TM1	CH
CTOv12scf1209_1_23403_23403	18234	18539	306	-	IGHZ3-4	CH
CTOv12scf1209_1_23403_23403	18637	18945	309	-	IGHZ3-3	CH
CTOv12scf1209_1_23403_23403	19033	19311	279	-	IGHZ3-2	CH
CTOv12scf1209_1_23403_23403	19415	19675	261	-	IGHZ3-1	CH
CTOv12scf265_1_144453_927612	34949	35245	297	+	IGHM2-1	CH
CTOv12scf265_1_144453_927612	36667	37011	345	+	IGHM2-2	CH
CTOv12scf265_1_144453_927612	37089	37403	315	+	IGHM2-3	CH
CTOv12scf265_1_144453_927612	37530	38004	475	+	IGHM2-4	CH
CTOv12scf265_1_144453_927612	39073	39209	137	+	IGHM2-TM1	CH
CTOv12scf265_1_144453_927612	42883	43203	321	+	IGHD2-1	CH
CTOv12scf265_1_144453_927612	43414	43737	324	+	IGHD2-5	CH
CTOv12scf265_1_144453_927612	43919	44206	288	+	IGHD2-7	CH
CTOv12scf265_1_144453_927612	44305	44453	149	+	IGHD2-TM1	CH
CTOv12scf945_1_53750_53750	4625	4773	149	-	IGHD1-TM1	CH
CTOv12scf945_1_53750_53750	4856	5143	288	-	IGHD1-7	CH
CTOv12scf945_1_53750_53750	5221	5538	318	-	IGHD1-6	CH
CTOv12scf945_1_53750_53750	5625	5949	325	-	IGHD1-5	CH
CTOv12scf945_1_53750_53750	6049	6320	272	-	IGHD1-4	CH
CTOv12scf945_1_53750_53750	6405	6719	315	-	IGHD1-3	CH
CTOv12scf945_1_53750_53750	6804	7094	291	-	IGHD1-2	CH
CTOv12scf945_1_53750_53750	7179	7495	317	-	IGHD1-1	CH
CTOv12scf945_1_53750_53750	8208	8370	163	-	IGHM1-TM2	CH
CTOv12scf945_1_53750_53750	9808	9953	146	-	IGHM1-TM1	CH
CTOv12scf945_1_53750_53750	10562	11033	472	-	IGHM1-4	CH
CTOv12scf945_1_53750_53750	11133	11444	312	-	IGHM1-3	CH
CTOv12scf945_1_53750_53750	11518	11862	345	-	IGHM1-2	CH
CTOv12scf945_1_53750_53750	13167	13463	297	-	IGHM1-1	CH
CTOv12scf945_1_53750_53750	29402	29532	131	-	IGHZ4-TM1	CH
CTOv12scf945_1_53750_53750	29855	30160	306	-	IGHZ4-4	CH
CTOv12scf945_1_53750_53750	30258	30566	309	-	IGHZ4-3	CH
CTOv12scf945_1_53750_53750	30654	30932	279	-	IGHZ4-2	CH
CTOv12scf945_1_53750_53750	31036	31284	249	-	IGHZ4-1	CH
