seqnames	label	start	end	width	strand	type
igh_xma	IGHZ-1	3380	3667	288	+	CH
igh_xma	IGHZ-2	3814	4098	285	+	CH
igh_xma	IGHZ-3	4195	4497	303	+	CH
igh_xma	IGHZ-4	4934	5263	330	+	CH
igh_xma	IGHZ-S	5264	5286	23	+	CH
igh_xma	IGHZ-TM1	6345	6490	146	+	CH
igh_xma	IGHZ-TM2	6645	7043	399	+	CH
igh_xma	IGHM-1	249681	249977	297	+	CH
igh_xma	IGHM-2	250897	251241	345	+	CH
igh_xma	IGHM-3	251338	251646	309	+	CH
igh_xma	IGHM-4	251806	252198	393	+	CH
igh_xma	IGHM-TM1	252926	253050	125	+	CH
igh_xma	IGHM-TM2	255044	255090	47	+	CH
igh_xma	IGHD-1	255918	256235	318	+	CH
igh_xma	IGHD-2A	256326	256613	288	+	CH
igh_xma	IGHD-3A	256830	257144	315	+	CH
igh_xma	IGHD-4A	257266	257550	285	+	CH
igh_xma	IGHD-2B	258892	259182	291	+	CH
igh_xma	IGHD-3B	259278	259592	315	+	CH
igh_xma	IGHD-4B	259696	259980	285	+	CH
igh_xma	IGHD-5	260068	260397	330	+	CH
igh_xma	IGHD-6	260488	260805	318	+	CH
igh_xma	IGHD-7	260881	261168	288	+	CH
igh_xma	IGHD-TM1	261302	261450	149	+	CH
igh_xma	IGHD-TM2	261557	261658	102	+	CH
