start	end	width	strand	seqnames	label	type
257759	257907	149	-	NW_015151047.1_1_547058_547058	IGHD-TM1	CH
257996	258283	288	-	NW_015151047.1_1_547058_547058	IGHD-7	CH
258366	258683	318	-	NW_015151047.1_1_547058_547058	IGHD-6	CH
258775	259104	330	-	NW_015151047.1_1_547058_547058	IGHD-5	CH
259362	259646	285	-	NW_015151047.1_1_547058_547058	IGHD-4B	CH
259768	260082	315	-	NW_015151047.1_1_547058_547058	IGHD-3B	CH
260175	260474	300	-	NW_015151047.1_1_547058_547058	IGHD-2B	CH
261757	261846	90	-	NW_015151047.1_1_547058_547058	IGHD-4A	CH
264607	264712	106	-	NW_015151047.1_1_547058_547058	IGHD-3A	CH
264805	265095	291	-	NW_015151047.1_1_547058_547058	IGHD-2A	CH
265765	266073	309	-	NW_015151047.1_1_547058_547058	IGHD-1	CH
271672	271805	134	-	NW_015151047.1_1_547058_547058	IGHM-TM1	CH
272385	272892	508	-	NW_015151047.1_1_547058_547058	IGHM-4	CH
273055	273372	318	-	NW_015151047.1_1_547058_547058	IGHM-3	CH
273476	273823	348	-	NW_015151047.1_1_547058_547058	IGHM-2	CH
274716	275012	297	-	NW_015151047.1_1_547058_547058	IGHM-1	CH
311720	311847	128	-	NW_015151047.1_1_547058_547058	IGHZ-TM1	CH
312258	312599	342	-	NW_015151047.1_1_547058_547058	IGHZ-4	CH
71	368	298	-	NW_015154250.1_1_5734_5734	IGHZ-3	CH
529	819	291	-	NW_015154250.1_1_5734_5734	IGHZ-2	CH
915	1202	288	-	NW_015154250.1_1_5734_5734	IGHZ-1	CH
