start	end	width	strand	seqnames	label	type
30253	30401	149	-	NW_016094277.1_1_164402_3763630	IGHD2-TM1	CH
30484	30786	303	-	NW_016094277.1_1_164402_3763630	IGHD2-6	CH
30866	31195	330	-	NW_016094277.1_1_164402_3763630	IGHD2-5	CH
31536	31817	282	-	NW_016094277.1_1_164402_3763630	IGHD2-4	CH
31914	32237	324	-	NW_016094277.1_1_164402_3763630	IGHD2-3	CH
33692	33985	294	-	NW_016094277.1_1_164402_3763630	IGHD2-2	CH
34057	34377	321	-	NW_016094277.1_1_164402_3763630	IGHD2-1	CH
34538	35260	723	-	NW_016094277.1_1_164402_3763630	IGHM2-TM2	CH
36757	36887	131	-	NW_016094277.1_1_164402_3763630	IGHM2-TM1	CH
37492	37983	492	-	NW_016094277.1_1_164402_3763630	IGHM2-4	CH
38128	38439	312	-	NW_016094277.1_1_164402_3763630	IGHM2-3	CH
38542	38889	348	-	NW_016094277.1_1_164402_3763630	IGHM2-2	CH
39938	40234	297	-	NW_016094277.1_1_164402_3763630	IGHM2-1	CH
100001	100149	149	-	NW_016094301.1_2444947_2639457_2639457	IGHD1-TM1	CH
100291	100578	288	-	NW_016094301.1_2444947_2639457_2639457	IGHD1-7	CH
100665	100982	318	-	NW_016094301.1_2444947_2639457_2639457	IGHD1-6	CH
101074	101403	330	-	NW_016094301.1_2444947_2639457_2639457	IGHD1-5	CH
102062	102343	282	-	NW_016094301.1_2444947_2639457_2639457	IGHD1-4	CH
102442	102756	315	-	NW_016094301.1_2444947_2639457_2639457	IGHD1-3	CH
102885	103175	291	-	NW_016094301.1_2444947_2639457_2639457	IGHD1-2	CH
103248	103568	321	-	NW_016094301.1_2444947_2639457_2639457	IGHD1-1	CH
104325	104441	117	-	NW_016094301.1_2444947_2639457_2639457	IGHM1-TM2	CH
106735	106865	131	-	NW_016094301.1_2444947_2639457_2639457	IGHM1-TM1	CH
107473	107949	477	-	NW_016094301.1_2444947_2639457_2639457	IGHM1-4	CH
108101	108406	306	-	NW_016094301.1_2444947_2639457_2639457	IGHM1-3	CH
108506	108847	342	-	NW_016094301.1_2444947_2639457_2639457	IGHM1-2	CH
109890	110186	297	-	NW_016094301.1_2444947_2639457_2639457	IGHM1-1	CH
127839	127978	140	-	NW_016094301.1_2444947_2639457_2639457	IGHZ2-TM1	CH
128342	128659	318	-	NW_016094301.1_2444947_2639457_2639457	IGHZ2-4	CH
129083	129367	285	-	NW_016094301.1_2444947_2639457_2639457	IGHZ2-1	CH
865157	865438	282	+	NW_016094348.1_693455_1570503_1570503	IGHZ1-1	CH
865616	865891	276	+	NW_016094348.1_693455_1570503_1570503	IGHZ1-2	CH
865990	866301	312	+	NW_016094348.1_693455_1570503_1570503	IGHZ1-3	CH
866384	866707	324	+	NW_016094348.1_693455_1570503_1570503	IGHZ1-4	CH
867454	867608	155	+	NW_016094348.1_693455_1570503_1570503	IGHZ1-TM1	CH
