start	end	width	strand	seqnames	label	type
26187	26234	48	+	locus	IGH1J01	JH
128176	128226	51	+	locus	IGH1J02	JH
128354	128391	38	+	locus	IGH1J03	JH
128533	128583	51	+	locus	IGH1J04	JH
128887	128937	51	+	locus	IGH1J05	JH
129346	129397	52	+	locus	IGH1J06	JH
129635	129688	54	+	locus	IGH1J07	JH
129965	130020	56	+	locus	IGH1J08	JH
130612	130665	54	+	locus	IGH1J09	JH
204031	204084	54	-	locus	IGH2J08	JH
204673	204728	56	-	locus	IGH2J07	JH
205005	205058	54	-	locus	IGH2J06	JH
205296	205347	52	-	locus	IGH2J05	JH
205756	205806	51	-	locus	IGH2J04	JH
206111	206161	51	-	locus	IGH2J03	JH
206303	206340	38	-	locus	IGH2J02	JH
206466	206516	51	-	locus	IGH2J01	JH
