seqnames	start	end	width	strand	label	type
AAUv12scf373_1_630726_630726	576951	577113	163	-	IGHD-TM2	CH
AAUv12scf373_1_630726_630726	577257	577405	149	-	IGHD-TM1	CH
AAUv12scf373_1_630726_630726	577524	577811	288	-	IGHD-7	CH
AAUv12scf373_1_630726_630726	577896	578213	318	-	IGHD-6	CH
AAUv12scf373_1_630726_630726	578299	578628	330	-	IGHD-5	CH
AAUv12scf373_1_630726_630726	578775	579059	285	-	IGHD-4	CH
AAUv12scf373_1_630726_630726	579147	579455	309	-	IGHD-3	CH
AAUv12scf373_1_630726_630726	579568	579858	291	-	IGHD-2	CH
AAUv12scf373_1_630726_630726	579942	580286	345	-	IGHD-1	CH
AAUv12scf373_1_630726_630726	580765	581161	397	-	IGHM-TM2	CH
AAUv12scf373_1_630726_630726	582796	582947	152	-	IGHM-TM1	CH
AAUv12scf373_1_630726_630726	583837	584312	476	-	IGHM-4	CH
AAUv12scf373_1_630726_630726	584423	584734	312	-	IGHM-3	CH
AAUv12scf373_1_630726_630726	584825	585163	339	-	IGHM-2	CH
AAUv12scf373_1_630726_630726	586222	586518	297	-	IGHM-1	CH
