start	end	width	strand	seqnames	label	type
130848	131144	297	+	locus	IGH1M-1	CH
131971	132312	342	+	locus	IGH1M-2	CH
132394	132705	312	+	locus	IGH1M-3	CH
132816	133288	473	+	locus	IGH1M-4	CH
134262	134413	152	+	locus	IGH1M-TM1	CH
138431	138819	389	+	locus	IGH1M-TM2	CH
139381	139689	309	+	locus	IGH1D-1	CH
139774	140064	291	+	locus	IGH1D-2A	CH
140178	140489	312	+	locus	IGH1D-3A	CH
140572	140853	282	+	locus	IGH1D-4A	CH
145613	145909	297	+	locus	IGH1D-2B	CH
146000	146311	312	+	locus	IGH1D-3B	CH
146398	146676	279	+	locus	IGH1D-4B	CH
146795	147124	330	+	locus	IGH1D-5	CH
147210	147527	318	+	locus	IGH1D-6	CH
147598	147885	288	+	locus	IGH1D-7	CH
148016	148164	149	+	locus	IGH1D-TM1	CH
148323	148504	182	+	locus	IGH1D-TM2	CH
187624	187803	180	-	locus	IGH2D-TM2	CH
187963	188111	149	-	locus	IGH2D-TM1	CH
188658	188945	288	-	locus	IGH2D-7	CH
189016	189333	318	-	locus	IGH2D-6	CH
189419	189748	330	-	locus	IGH2D-5	CH
189867	190145	279	-	locus	IGH2D-4B	CH
190232	190543	312	-	locus	IGH2D-3B	CH
190636	190932	297	-	locus	IGH2D-2B	CH
195644	195925	282	-	locus	IGH2D-4A	CH
196008	196319	312	-	locus	IGH2D-3A	CH
196433	196723	291	-	locus	IGH2D-2A	CH
196808	197116	309	-	locus	IGH2D-1	CH
198315	198506	192	-	locus	IGH2M-TM2	CH
199834	199985	152	-	locus	IGH2M-TM1	CH
200953	201425	473	-	locus	IGH2M-4	CH
201536	201847	312	-	locus	IGH2M-3	CH
201929	202270	342	-	locus	IGH2M-2	CH
203549	203845	297	-	locus	IGH2M-1	CH
