start	end	width	strand	seqnames	label	type
223913	224215	303	+	NC_019866.2_14545090_15270527_26239357	IGHM1-1	CH
225272	225622	351	+	NC_019866.2_14545090_15270527_26239357	IGHM1-2	CH
225698	226012	315	+	NC_019866.2_14545090_15270527_26239357	IGHM1-3	CH
226133	226613	481	+	NC_019866.2_14545090_15270527_26239357	IGHM1-4	CH
227264	227400	137	+	NC_019866.2_14545090_15270527_26239357	IGHM1-TM1	CH
228031	228185	155	+	NC_019866.2_14545090_15270527_26239357	IGHM1-TM2	CH
228889	229209	321	+	NC_019866.2_14545090_15270527_26239357	IGHD1-1	CH
229299	229589	291	+	NC_019866.2_14545090_15270527_26239357	IGHD1-2	CH
230630	230944	315	+	NC_019866.2_14545090_15270527_26239357	IGHD1-3	CH
231037	231321	285	+	NC_019866.2_14545090_15270527_26239357	IGHD1-4	CH
231402	231719	318	+	NC_019866.2_14545090_15270527_26239357	IGHD1-6	CH
231807	232094	288	+	NC_019866.2_14545090_15270527_26239357	IGHD1-7	CH
232230	232378	149	+	NC_019866.2_14545090_15270527_26239357	IGHD1-TM1	CH
232511	232731	221	+	NC_019866.2_14545090_15270527_26239357	IGHD1-TM2	CH
316920	317222	303	+	NC_019866.2_14545090_15270527_26239357	IGHM2-1	CH
318259	318609	351	+	NC_019866.2_14545090_15270527_26239357	IGHM2-2	CH
318685	318999	315	+	NC_019866.2_14545090_15270527_26239357	IGHM2-3	CH
319120	319593	474	+	NC_019866.2_14545090_15270527_26239357	IGHM2-4	CH
320255	320391	137	+	NC_019866.2_14545090_15270527_26239357	IGHM2-TM1	CH
321798	322118	321	+	NC_019866.2_14545090_15270527_26239357	IGHD2-1	CH
322194	322484	291	+	NC_019866.2_14545090_15270527_26239357	IGHD2-2	CH
323523	323837	315	+	NC_019866.2_14545090_15270527_26239357	IGHD2-3	CH
323930	324214	285	+	NC_019866.2_14545090_15270527_26239357	IGHD2-4	CH
324295	324612	318	+	NC_019866.2_14545090_15270527_26239357	IGHD2-6	CH
324700	324987	288	+	NC_019866.2_14545090_15270527_26239357	IGHD2-7	CH
325123	325271	149	+	NC_019866.2_14545090_15270527_26239357	IGHD2-TM1	CH
325427	325505	79	+	NC_019866.2_14545090_15270527_26239357	IGHD2-TM2	CH
396600	396902	303	+	NC_019866.2_14545090_15270527_26239357	IGHM3-1	CH
397892	398242	351	+	NC_019866.2_14545090_15270527_26239357	IGHM3-2	CH
398318	398632	315	+	NC_019866.2_14545090_15270527_26239357	IGHM3-3	CH
398753	399233	481	+	NC_019866.2_14545090_15270527_26239357	IGHM3-4	CH
399885	400021	137	+	NC_019866.2_14545090_15270527_26239357	IGHM3-TM1	CH
401518	401838	321	+	NC_019866.2_14545090_15270527_26239357	IGHD3-1	CH
401914	402204	291	+	NC_019866.2_14545090_15270527_26239357	IGHD3-2	CH
403244	403558	315	+	NC_019866.2_14545090_15270527_26239357	IGHD3-3	CH
403651	403935	285	+	NC_019866.2_14545090_15270527_26239357	IGHD3-4	CH
404016	404333	318	+	NC_019866.2_14545090_15270527_26239357	IGHD3-6	CH
404421	404708	288	+	NC_019866.2_14545090_15270527_26239357	IGHD3-7	CH
404844	404992	149	+	NC_019866.2_14545090_15270527_26239357	IGHD3-TM1	CH
405122	405341	220	+	NC_019866.2_14545090_15270527_26239357	IGHD3-TM2	CH
461004	461300	297	+	NC_019866.2_14545090_15270527_26239357	IGHM4-1	CH
462351	462701	351	+	NC_019866.2_14545090_15270527_26239357	IGHM4-2	CH
462777	463091	315	+	NC_019866.2_14545090_15270527_26239357	IGHM4-3	CH
463212	463692	481	+	NC_019866.2_14545090_15270527_26239357	IGHM4-4	CH
465313	465458	146	+	NC_019866.2_14545090_15270527_26239357	IGHM4-TM1	CH
470768	470881	114	+	NC_019866.2_14545090_15270527_26239357	IGHM4-TM2	CH
476196	476486	291	+	NC_019866.2_14545090_15270527_26239357	IGHD4-2	CH
476645	476932	288	+	NC_019866.2_14545090_15270527_26239357	IGHD4-7	CH
477068	477216	149	+	NC_019866.2_14545090_15270527_26239357	IGHD4-TM1	CH
477372	477579	208	+	NC_019866.2_14545090_15270527_26239357	IGHD4-TM2	CH
538755	539057	303	+	NC_019866.2_14545090_15270527_26239357	IGHM5-1	CH
540092	540442	351	+	NC_019866.2_14545090_15270527_26239357	IGHM5-2	CH
540518	540832	315	+	NC_019866.2_14545090_15270527_26239357	IGHM5-3	CH
540953	541433	481	+	NC_019866.2_14545090_15270527_26239357	IGHM5-4	CH
542052	542188	137	+	NC_019866.2_14545090_15270527_26239357	IGHM5-TM1	CH
543640	543960	321	+	NC_019866.2_14545090_15270527_26239357	IGHD5-1	CH
544036	544326	291	+	NC_019866.2_14545090_15270527_26239357	IGHD5-2	CH
545361	545675	315	+	NC_019866.2_14545090_15270527_26239357	IGHD5-3	CH
