seqnames	label	start	end	width	strand
locus	IGH1M-1	130848	131144	297	+
locus	IGH1M-2	131971	132312	342	+
locus	IGH1M-3	132394	132705	312	+
locus	IGH1M-4	132816	133288	473	+
locus	IGH1M-TM1	134262	134413	152	+
locus	IGH1M-TM2	138431	138819	389	+
locus	IGH1D-1	139381	139689	309	+
locus	IGH1D-2A	139774	140064	291	+
locus	IGH1D-3A	140178	140489	312	+
locus	IGH1D-4A	140572	140853	282	+
locus	IGH1D-2B	145613	145909	297	+
locus	IGH1D-3B	146000	146311	312	+
locus	IGH1D-4B	146398	146676	279	+
locus	IGH1D-5	146795	147124	330	+
locus	IGH1D-6	147210	147527	318	+
locus	IGH1D-7	147598	147885	288	+
locus	IGH1D-TM1	148016	148164	149	+
locus	IGH1D-TM2	148323	148504	182	+
locus	IGH2D-TM2	187624	187803	180	-
locus	IGH2D-TM1	187963	188111	149	-
locus	IGH2D-7	188658	188945	288	-
locus	IGH2D-6	189016	189333	318	-
locus	IGH2D-5	189419	189748	330	-
locus	IGH2D-4B	189867	190145	279	-
locus	IGH2D-3B	190232	190543	312	-
locus	IGH2D-2B	190636	190932	297	-
locus	IGH2D-4A	195644	195925	282	-
locus	IGH2D-3A	196008	196319	312	-
locus	IGH2D-2A	196433	196721	289	-
locus	IGH2D-1	196806	197114	309	-
locus	IGH2M-TM2	198313	198504	192	-
locus	IGH2M-TM1	199832	199983	152	-
locus	IGH2M-4	200951	201423	473	-
locus	IGH2M-3	201534	201845	312	-
locus	IGH2M-2	201927	202268	342	-
locus	IGH2M-1	203547	203843	297	-
