seqnames	label	start	end	width	strand	type
igh_xma	IGHV01-01	1159	1450	292	+	VH
igh_xma	IGHV02-01	10534	10825	292	+	VH
igh_xma	IGHV02-02	17458	17751	294	+	VH
igh_xma	IGHV02-03	19362	19663	302	+	VH
igh_xma	IGHV02-04	20723	21020	298	+	VH
igh_xma	IGHV03-01	22844	23138	295	+	VH
igh_xma	IGHV02-05	25537	25825	289	+	VH
igh_xma	IGHV02-06	27592	27872	281	+	VH
igh_xma	IGHV04-01	28717	29017	301	+	VH
igh_xma	IGHV04-02	30424	30724	301	+	VH
igh_xma	IGHV02-07	32027	32316	290	+	VH
igh_xma	IGHV02-08	33818	34099	282	+	VH
igh_xma	IGHV02-09	35753	36039	287	+	VH
igh_xma	IGHV03-02	37064	37358	295	+	VH
igh_xma	IGHV02-10	38442	38734	293	+	VH
igh_xma	IGHV02-11	39822	40113	292	+	VH
igh_xma	IGHV02-12	51527	51815	289	+	VH
igh_xma	IGHV03-03	53094	53388	295	+	VH
igh_xma	IGHV03-04	54230	54545	316	+	VH
igh_xma	IGHV02-13	55765	56050	286	+	VH
igh_xma	IGHV02-14	57032	57169	138	+	VH
igh_xma	IGHV03-05	58674	58965	292	+	VH
igh_xma	IGHV02-15	60001	60233	233	+	VH
igh_xma	IGHV02-16	60348	60634	287	+	VH
igh_xma	IGHV03-06	62445	62736	292	+	VH
igh_xma	IGHV02-17	64094	64382	289	+	VH
igh_xma	IGHV03-07	66286	66581	296	+	VH
igh_xma	IGHV02-18	67563	67851	289	+	VH
igh_xma	IGHV03-08	69766	70057	292	+	VH
igh_xma	IGHV03-09	71740	72034	295	+	VH
igh_xma	IGHV02-19	72968	73256	289	+	VH
igh_xma	IGHV03-10	84302	84596	295	+	VH
igh_xma	IGHV03-11	85962	86259	298	+	VH
igh_xma	IGHV03-12	87856	88156	301	+	VH
igh_xma	IGHV03-13	89270	89567	298	+	VH
igh_xma	IGHV03-14	91427	91724	298	+	VH
igh_xma	IGHV05-01	92606	92884	279	+	VH
igh_xma	IGHV03-15	93886	94177	292	+	VH
igh_xma	IGHV06-01	95339	95619	281	+	VH
igh_xma	IGHV03-16	97062	97359	298	+	VH
igh_xma	IGHV03-17	98563	98860	298	+	VH
igh_xma	IGHV03-18	100158	100458	301	+	VH
igh_xma	IGHV07-01	101351	101642	292	+	VH
igh_xma	IGHV08-01	102819	103116	298	+	VH
igh_xma	IGHV03-19	108142	108433	292	+	VH
igh_xma	IGHV03-20	109126	109417	292	+	VH
igh_xma	IGHV09-01	110506	110803	298	+	VH
igh_xma	IGHV02-20	117863	118152	290	+	VH
igh_xma	IGHV10-01	118909	119209	301	+	VH
igh_xma	IGHV02-21	120496	120789	294	+	VH
igh_xma	IGHV02-22	122176	122467	292	+	VH
igh_xma	IGHV02-23	123966	124254	289	+	VH
igh_xma	IGHV02-24	125968	126259	292	+	VH
igh_xma	IGHV02-25	127374	127665	292	+	VH
igh_xma	IGHV02-26	128537	128828	292	+	VH
igh_xma	IGHV02-27	129473	129772	300	+	VH
igh_xma	IGHV02-28	132138	132431	294	+	VH
igh_xma	IGHV02-29	133883	134171	289	+	VH
igh_xma	IGHV11-01	135989	136288	300	+	VH
igh_xma	IGHV02-30	137347	137623	277	+	VH
igh_xma	IGHV02-31	138497	138784	288	+	VH
igh_xma	IGHV02-32	145889	146181	293	+	VH
igh_xma	IGHV03-21	147327	147619	293	+	VH
igh_xma	IGHV02-33	148905	149204	300	+	VH
igh_xma	IGHV09-02	150340	150638	299	+	VH
igh_xma	IGHV02-34	152190	152490	301	+	VH
igh_xma	IGHV02-35	153834	154122	289	+	VH
igh_xma	IGHV02-36	157320	157630	311	+	VH
igh_xma	IGHV09-03	159355	159643	289	+	VH
igh_xma	IGHV09-04	162001	162299	299	+	VH
igh_xma	IGHV02-37	163697	163992	296	+	VH
igh_xma	IGHV02-38	165079	165367	289	+	VH
igh_xma	IGHV02-39	165761	166068	308	+	VH
igh_xma	IGHV09-05	169308	169596	289	+	VH
igh_xma	IGHV02-40	171254	171552	299	+	VH
igh_xma	IGHV09-06	172292	172590	299	+	VH
igh_xma	IGHV02-41	173955	174256	302	+	VH
igh_xma	IGHV12-01	182996	183293	298	+	VH
igh_xma	IGHV10-02	184803	185103	301	+	VH
igh_xma	IGHV13-01	186326	186620	295	+	VH
igh_xma	IGHV10-03	187077	187377	301	+	VH
igh_xma	IGHV03-22	188521	188809	289	+	VH
igh_xma	IGHV14-01	190451	190754	304	+	VH
igh_xma	IGHV12-02	193729	193989	261	+	VH
igh_xma	IGHV15-01	194798	195089	292	+	VH
igh_xma	IGHV16-01	197001	197301	301	+	VH
igh_xma	IGHV03-23	198495	198795	301	+	VH
igh_xma	IGHV16-02	199456	199759	304	+	VH
igh_xma	IGHV17-01	213496	213812	317	+	VH
igh_xma	IGHV02-42	214739	215040	302	+	VH
igh_xma	IGHV03-24	216832	217123	292	+	VH
igh_xma	IGHV18-01	218991	219289	299	+	VH
igh_xma	IGHV19-01	220588	220876	289	+	VH
igh_xma	IGHV20-01	222577	222874	298	+	VH
igh_xma	IGHV02-43	224234	224523	290	+	VH
igh_xma	IGHV21-01	234377	234664	288	-	VH
igh_xma	IGHV03-25	235805	236103	299	-	VH
igh_xma	IGHV02-44	237466	237770	305	-	VH
igh_xma	IGHV02-45	238895	239186	292	-	VH
