start	end	width	strand	seqnames	label	type
317217	317504	288	+	NW_006800081.1_1_1672257_1672257	IGHZ1-1	CH
317620	317904	285	+	NW_006800081.1_1_1672257_1672257	IGHZ1-2	CH
318001	318300	300	+	NW_006800081.1_1_1672257_1672257	IGHZ1-3	CH
318434	318763	330	+	NW_006800081.1_1_1672257_1672257	IGHZ1-4	CH
319858	320006	149	+	NW_006800081.1_1_1672257_1672257	IGHZ1-TM1	CH
657134	657406	273	+	NW_006800081.1_1_1672257_1672257	IGHZ2-1	CH
657609	657890	282	+	NW_006800081.1_1_1672257_1672257	IGHZ2-2	CH
657976	658287	312	+	NW_006800081.1_1_1672257_1672257	IGHZ2-3	CH
658414	658731	318	+	NW_006800081.1_1_1672257_1672257	IGHZ2-4	CH
659184	659317	134	+	NW_006800081.1_1_1672257_1672257	IGHZ2-TM1	CH
674942	675232	291	+	NW_006800081.1_1_1672257_1672257	IGHZ3-1	CH
675345	675629	285	+	NW_006800081.1_1_1672257_1672257	IGHZ3-2	CH
675792	676088	297	+	NW_006800081.1_1_1672257_1672257	IGHZ3-3	CH
676236	676550	315	+	NW_006800081.1_1_1672257_1672257	IGHZ3-4	CH
676985	677127	143	+	NW_006800081.1_1_1672257_1672257	IGHZ3-TM1	CH
698327	698632	306	+	NW_006800081.1_1_1672257_1672257	IGHM-1	CH
699546	699896	351	+	NW_006800081.1_1_1672257_1672257	IGHM-2	CH
699986	700294	309	+	NW_006800081.1_1_1672257_1672257	IGHM-3	CH
700443	700948	506	+	NW_006800081.1_1_1672257_1672257	IGHM-4	CH
701526	701656	131	+	NW_006800081.1_1_1672257_1672257	IGHM-TM1	CH
704535	704852	318	+	NW_006800081.1_1_1672257_1672257	IGHD-1	CH
704964	705248	285	+	NW_006800081.1_1_1672257_1672257	IGHD-2	CH
705423	705737	315	+	NW_006800081.1_1_1672257_1672257	IGHD-3	CH
705845	706129	285	+	NW_006800081.1_1_1672257_1672257	IGHD-4	CH
706217	706546	330	+	NW_006800081.1_1_1672257_1672257	IGHD-5	CH
706637	706954	318	+	NW_006800081.1_1_1672257_1672257	IGHD-6	CH
707030	707317	288	+	NW_006800081.1_1_1672257_1672257	IGHD-7	CH
707455	707603	149	+	NW_006800081.1_1_1672257_1672257	IGHD-TM1	CH
