start	end	width	strand	seqnames	label	type
100001	100149	149	-	PLPv12scf125_1345518_1557672_1567573	IGHD-TM1	CH
100243	100530	288	-	PLPv12scf125_1345518_1557672_1567573	IGHD-7	CH
100617	100934	318	-	PLPv12scf125_1345518_1557672_1567573	IGHD-6	CH
101014	101343	330	-	PLPv12scf125_1345518_1557672_1567573	IGHD-5	CH
101522	101806	285	-	PLPv12scf125_1345518_1557672_1567573	IGHD-4	CH
101909	102223	315	-	PLPv12scf125_1345518_1557672_1567573	IGHD-3	CH
102337	102627	291	-	PLPv12scf125_1345518_1557672_1567573	IGHD-2	CH
102722	103036	315	-	PLPv12scf125_1345518_1557672_1567573	IGHD-1	CH
103771	103921	151	-	PLPv12scf125_1345518_1557672_1567573	IGHM-TM2	CH
105617	105768	152	-	PLPv12scf125_1345518_1557672_1567573	IGHM-TM1	CH
106358	106848	491	-	PLPv12scf125_1345518_1557672_1567573	IGHM-4	CH
106977	107291	315	-	PLPv12scf125_1345518_1557672_1567573	IGHM-3	CH
107381	107728	348	-	PLPv12scf125_1345518_1557672_1567573	IGHM-2	CH
108885	109181	297	-	PLPv12scf125_1345518_1557672_1567573	IGHM-1	CH
98535	98831	297	-	PLPv12scf190_1_422137_888696	IGHM-1A	CH
6475	6750	276	+	PLPv12scf547_1_21477_21477	IGHZ-1	CH
6952	7239	288	+	PLPv12scf547_1_21477_21477	IGHZ-2	CH
7365	7652	288	+	PLPv12scf547_1_21477_21477	IGHZ-3	CH
7731	8048	318	+	PLPv12scf547_1_21477_21477	IGHZ-4	CH
8462	8604	143	+	PLPv12scf547_1_21477_21477	IGHZ-TM1	CH
